Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Country House Pumpkin Seed Crunch 7 oz,https://www.sayweee.com/en/product/Country-House-Pumpkin-Seed-Crunch/94178,$4.89,100+ Sold,$0.69/oz,Country House Pumpkin Seed Crunch,(37),United States,
"Taiwanese Sun Cake, Brown Sugar Flavor 12 pcs 600 g",https://www.sayweee.com/en/product/Taiwanese-Sun-Cake--Brown-Sugar-Flavor-12-pcs/16217,$12.99,200+ Sold,,"Taiwanese Sun Cake, Brown Sugar Flavor 12 pcs",(42),Taiwan,
Mung Bean Cake (Original Flavor) 240 g,https://www.sayweee.com/en/product/Mung-Bean-Cake--Original-Flavor-/18300,$6.99,200+ Sold,,Mung Bean Cake (Original Flavor),(3),United States,
DXC Sweetheart Cake with Honey  210 g,https://www.sayweee.com/en/product/DXC-Sweetheart-Cake-with-Honey-/28225,$7.29,200+ Sold,$0.03/g,DXC Sweetheart Cake with Honey,(3),Mainland China,
ZHANYI Frozen Egg Tart Skin 51pc/box 1020 g,https://www.sayweee.com/en/product/ZHANYI-Frozen-Egg-Tart-Skin-51pc-box/29854,$19.99,200+ Sold,,ZHANYI Frozen Egg Tart Skin 51pc/box,(50),Mainland China,
Chen Yun Pao Chuan Mochi Yolk Pastries 3pc 159 g,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Mochi-Yolk-Pastries-3pc/45884,$8.49,50+ Sold,$0.05/g,Chen Yun Pao Chuan Mochi Yolk Pastries 3pc,(30),Taiwan,
Serena Original Egg Roll Cookies  512 g,https://www.sayweee.com/en/product/Serena-Original-Egg-Roll-Cookies-/3483,$13.99,50+ Sold,,Serena Original Egg Roll Cookies,(47),Taiwan,Serena
Kuo Yuan Ye Taiwan Golden Prize Pineapple Cake 168 g,https://www.sayweee.com/en/product/Kuo-Yuan-Ye-Taiwan-Golden-Prize-Pineapple-Cake/1791,$13.19,50+ Sold,$0.07/g,Kuo Yuan Ye Taiwan Golden Prize Pineapple Cake,(16),Taiwan,KUOS
"Mi Po Po Fermented Glutinous Rice, Large 900 g",https://www.sayweee.com/en/product/Mi-Po-Po-Fermented-Glutinous-Rice-Large/18065,$5.99,900+ Sold,,"Mi Po Po Fermented Glutinous Rice, Large",(103),Mainland China,
DXC Sweetheart Cake with Brown Sugar 210 g,https://www.sayweee.com/en/product/DXC-Sweetheart-Cake-with-Brown-Sugar/28226,$7.29,100+ Sold,$0.03/g,DXC Sweetheart Cake with Brown Sugar,(7),Mainland China,
Dried Persimmons 1 lb,https://www.sayweee.com/en/product/Dried-Persimmons/43451,$7.99,100+ Sold,$7.99/lb,Dried Persimmons,(62),Mainland China,
"Puff Pastry Egg Tart Shells, Frozen 18pc 414 g",https://www.sayweee.com/en/product/Puff-Pastry-Egg-Tart-Shells--Frozen-18pc/30754,$6.49,300+ Sold,,"Puff Pastry Egg Tart Shells, Frozen 18pc",(15),Mainland China,
Cherry Grandfather Handmade Walnut and Date Pastille Candies 350 g,https://www.sayweee.com/en/product/Cherry-Grandfather-Handmade-Walnut-and-Date-Pastille-Candies/45531,$23.99,200+ Sold,$0.06/g,Cherry Grandfather Handmade Walnut and Date Pastille Candies,(40),Taiwan,Cherry Grandfather
Uni Bread Portuguese Egg Tart 4ct 290 g,https://www.sayweee.com/en/product/Uni-Bread-Portuguese-Egg-Tart-4ct/80013,$12.49,50+ Sold,$0.04/g,Uni Bread Portuguese Egg Tart 4ct,(17),United States,
DEKA WAFER BITES DURIAN 7 oz,https://www.sayweee.com/en/product/DEKA-WAFER-BITES-DURIAN/20819,$3.29,"100+ Sold,1 Left",$0.47/oz,DEKA WAFER BITES DURIAN,(25),Indonesia,
IJEAN Egg Yolk Puff with Mochi and Red Bean Paste 8.47 oz,https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi-and-Red-Bean-Paste/35558,$8.99,100+ Sold,$1.06/oz,IJEAN Egg Yolk Puff with Mochi and Red Bean Paste,(4),United States,
Chen Yun Pao Chuan Billionaire Taro Pastry 3pc 5.6 oz,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Billionaire-Taro-Pastry-3pc/27501,$8.99,300+ Sold,$1.60/oz,Chen Yun Pao Chuan Billionaire Taro Pastry 3pc,(200),Taiwan,
Chen Yun Pao Chuan Mung Bean Pastries Box 3pc 1 box,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Mung-Bean-Pastries-Box-3pc/45097,$8.99,300+ Sold,$8.99/box,Chen Yun Pao Chuan Mung Bean Pastries Box 3pc,(80),Taiwan,
Kyoshin Daifuku Mochi with Bean Paste 8pc 11.01 oz,https://www.sayweee.com/en/product/Kyoshin-Daifuku-Mochi-with-Bean-Paste-8pc/70012,$5.29,50+ Sold,$0.48/oz,Kyoshin Daifuku Mochi with Bean Paste 8pc,(9),Japan,
Golden Coins Mango Pudding Oriental Dessert Mix 4.5 oz,https://www.sayweee.com/en/product/Golden-Coins-Mango-Pudding-Oriental-Dessert-Mix/13166,$1.99,50+ Sold,$0.44/oz,Golden Coins Mango Pudding Oriental Dessert Mix,(18),United States,
DXC Beijing Style Assorted Cakes 1380 g,https://www.sayweee.com/en/product/DXC-Beijing-Style-Assorted-Cakes/16934,$33.99,100+ Sold,,DXC Beijing Style Assorted Cakes,(20),Mainland China,
Zuming Soft Beancurd Snack  500 g,https://www.sayweee.com/en/product/Zuming-Soft-Beancurd-Snack-/22175,$3.79,300+ Sold,,Zuming Soft Beancurd Snack,(43),Mainland China,ZUMING
Serena Sesame Egg Roll Cookies  512 g,https://www.sayweee.com/en/product/Serena-Sesame-Egg-Roll-Cookies-/19363,$14.49,50+ Sold,,Serena Sesame Egg Roll Cookies,(53),Taiwan,
"DXC Soft Flour Cake, Brown Sugar Flavor 454 g",https://www.sayweee.com/en/product/DXC-Soft-Flour-Cake--Brown-Sugar-Flavor/26058,$6.99,50+ Sold,,"DXC Soft Flour Cake, Brown Sugar Flavor",(5),Mainland China,
Sunny Hills Pineapple Fortune Cake 3pcs 1 box,https://www.sayweee.com/en/product/Sunny-Hills-Pineapple-Fortune-Cake-3pcs/82421,$22.99,300+ Sold,$22.99/box,Sunny Hills Pineapple Fortune Cake 3pcs,(20),Taiwan,Sunny Hills
Marukin Mini Muffins 16 count,https://www.sayweee.com/en/product/Marukin-Mini-Muffins/98717,$5.99,500+ Sold,$0.37/count,Marukin Mini Muffins,(434),Japan,
Four Types Famous Taiwan Snacks 321 g,https://www.sayweee.com/en/product/Four-Types-Famous-Taiwan-Snacks/94605,$4.69,100+ Sold,,Four Types Famous Taiwan Snacks,(45),Taiwan,
Chen Yun Pao Chuan Sun Cakes Box 5pc 6.7 oz,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Sun-Cakes-Box-5pc/45098,$8.99,400+ Sold,$1.34/oz,Chen Yun Pao Chuan Sun Cakes Box 5pc,(203),Taiwan,
Chen Yun Pao Chuan White Chocolate Yuzu Lemon Cake  1 box,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-White-Chocolate-Yuzu-Lemon-Cake-/17258,$27.99,200+ Sold,$27.99/box,Chen Yun Pao Chuan White Chocolate Yuzu Lemon Cake,(76),Taiwan,
Chen Yun Pao Chuan Royal Taiwanese Tamba Cakes 3ct  1 each,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Royal-Taiwanese-Tamba-Cakes-3ct-/9643,$8.49,500+ Sold,$8.49/each,Chen Yun Pao Chuan Royal Taiwanese Tamba Cakes 3ct,(388),Taiwan,
Chen Yun Pao Chuan Baked Chinese Pastry with Yolk 3pc 159 g,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Baked-Chinese-Pastry-with-Yolk-3pc/14489,$9.49,200+ Sold,$0.05/g,Chen Yun Pao Chuan Baked Chinese Pastry with Yolk 3pc,(152),Taiwan,
Chen Yun Pao Chuan Taro Pastries 8pc 1 box,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Taro-Pastries-8pc/25644,$24.64,,$24.64/box,Chen Yun Pao Chuan Taro Pastries 8pc,(37),Taiwan,
Mango Mango Black Sugar Boba Puffs 2 count,https://www.sayweee.com/en/product/Mango-Mango-Black-Sugar-Boba-Puffs/33413,$7.99,,$3.99/count,Mango Mango Black Sugar Boba Puffs,(68),United States,
GUOSHANLAOCUN Chestnut Pie Cake 128 g,https://www.sayweee.com/en/product/GUOSHANLAOCUN-Chestnut-Pie-Cake/67146,$4.59,,$0.03/g,GUOSHANLAOCUN Chestnut Pie Cake,(33),Mainland China,
Meixin Assorted Petite Egg Rolls 36pcs 208 g,https://www.sayweee.com/en/product/Meixin-Assorted-Petite-Egg-Rolls-36pcs/12621,$17.99,400+ Sold,$0.08/g,Meixin Assorted Petite Egg Rolls 36pcs,(76),Hong Kong,
Hsin Tung Yang Mixed Mochi 230 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Mixed-Mochi/44679,$2.90,100+ Sold,,Hsin Tung Yang Mixed Mochi,(4),Taiwan,HSIN TUNG YANG
Samlip Honey Stuffed Sweet Corn Pancake  12.06 oz,https://www.sayweee.com/en/product/Samlip-Honey-Stuffed-Sweet-Corn-Pancake-/84726,$4.39,100+ Sold,$0.36/oz,Samlip Honey Stuffed Sweet Corn Pancake,,South Korea,
AC EAGLE Frozen Faro 500 g,https://www.sayweee.com/en/product/AC-EAGLE-Frozen-Faro/32499,$7.29,100+ Sold,,AC EAGLE Frozen Faro,(12),Mainland China,
Bakerly Chocolate Filled Crepes 6.78 oz,https://www.sayweee.com/en/product/Bakerly-Chocolate-Filled-Crepes/18202,$3.99,50+ Sold,$0.58/oz,Bakerly Chocolate Filled Crepes,(1),United States,
Regent Mochi Assorted 240 g,https://www.sayweee.com/en/product/Regent-Mochi-Assorted/14384,$3.69,300+ Sold,,Regent Mochi Assorted,(6),Philippines,Regent
APoJia Mochi Mango Flavor  80 g,https://www.sayweee.com/en/product/APoJia-Mochi-Mango-Flavor-/84789,$1.59,"200+ Sold,86 Left",,APoJia Mochi Mango Flavor,(2),Mainland China,
"Regent Green Tea Mochi, 10pcs 240 g",https://www.sayweee.com/en/product/Regent-Green-Tea-Mochi--10pcs/9715,$3.69,100+ Sold,,"Regent Green Tea Mochi, 10pcs",(1),Philippines,Regent
Mu Sang King Durian Cake 300 g,https://www.sayweee.com/en/product/Mu-Sang-King-Durian-Cake/17799,$4.39,200+ Sold,,Mu Sang King Durian Cake,(13),Mainland China,
APoJia Mochi Peach Flavor  80 g,https://www.sayweee.com/en/product/APoJia-Mochi-Peach-Flavor-/84787,$1.59,50+ Sold,,APoJia Mochi Peach Flavor,(5),Mainland China,
