Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Reviews,Orgin,Brand
MSCHF Illegal Chips Horse Meat Flavored Chips 3 oz,https://www.sayweee.com/en/product/MSCHF-Illegal-Chips-Horse-Meat-Flavored-Chips/6095,$1.99 ,1K+ Sold,$0.66/oz,MSCHF Illegal Chips Horse Meat Flavored Chips,-116,United States,MSCHF
LAY'S Potato Chips Garlic Oyster Flavor  70 g,https://www.sayweee.com/en/product/LAY-S-Potato-Chips-Garlic-Oyster-Flavor-/14332,$2.49 ,1K+ Sold,$0.03/g,LAY'S Potato Chips Garlic Oyster Flavor,-31,Mainland China,Lay's
HAITAI Tteokbokki Rice Cake Chips  192 g,https://www.sayweee.com/en/product/HAITAI-Tteokbokki-Rice-Cake-Chips-/11130,$3.99 ,600+ Sold,,HAITAI Tteokbokki Rice Cake Chips,-16,South Korea,HAITAI
"Lay's Potato Chips, Vine Pepper Bowl Chicken Flavor 70 g",https://www.sayweee.com/en/product/Lay-s-Potato-Chips--Vine-Pepper-Bowl-Chicken-Flavor/21894,$2.69 ,900+ Sold,$0.03/g,"Lay's Potato Chips, Vine Pepper Bowl Chicken Flavor",-7,Mainland China,Lay's
"Koikeya Karamucho Potato Chips, Hot Chili Flavor 54 g",https://www.sayweee.com/en/product/Koikeya-Karamucho-Potato-Chips--Hot-Chili-Flavor/5458,$2.49 ,700+ Sold,$0.04/g,"Koikeya Karamucho Potato Chips, Hot Chili Flavor",-56,Taiwan,
MSCHF Illegal Chips Casu Marzu Maggot Cheese Flavored Chips  3 oz,https://www.sayweee.com/en/product/MSCHF-Illegal-Chips-Casu-Marzu-Maggot-Cheese-Flavored-Chips-/6094,$1.99 ,1K+ Sold,$0.66/oz,MSCHF Illegal Chips Casu Marzu Maggot Cheese Flavored Chips,-114,United States,MSCHF
Nongshim Honey Twist Snack 2.65 oz,https://www.sayweee.com/en/product/Nongshim-Honey-Twist-Snack/86124,$1.49 ,300+ Sold,$0.56/oz,Nongshim Honey Twist Snack,-110,South Korea,Nongshim
"Umaibo Baked Corn Snack, Corn Flavor 30pcs 6.3 oz",https://www.sayweee.com/en/product/Umaibo-Baked-Corn-Snack--Corn-Flavor-30pcs/44632,$5.99 ,600+ Sold,$0.95/oz,"Umaibo Baked Corn Snack, Corn Flavor 30pcs",-3,Japan,
"Calbee My Pote Potato Chips, Onion Soup Flavor  2.12 oz",https://www.sayweee.com/en/product/Calbee-My-Pote-Potato-Chips--Onion-Soup-Flavor-/47017,$1.49 ,800+ Sold,$0.70/oz,"Calbee My Pote Potato Chips, Onion Soup Flavor",-58,United States,Calbee
"Kuai Kuai Corn Snack, Five Spice Flavor  52 g",https://www.sayweee.com/en/product/Kuai-Kuai-Corn-Snack--Five-Spice-Flavor-/15520,$1.89 ,1K+ Sold,$0.03/g,"Kuai Kuai Corn Snack, Five Spice Flavor",-57,Taiwan,Kuai Kuai
