Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Vitalon Big Apple Soda Drink  330 ml,https://www.sayweee.com/en/product/Vitalon-Big-Apple-Soda-Drink-/85413,$1.89,200+ Sold,,Vitalon Big Apple Soda Drink,(4),Taiwan,
C&C Passion Fruit Flavored Sparkling Drink 500 ml,https://www.sayweee.com/en/product/C-C-Passion-Fruit-Flavored-Sparkling-Drink/14000,$1.99,200+ Sold,,C&C Passion Fruit Flavored Sparkling Drink,(12),Taiwan,
Binggrae Coffee Flavored Milk Drink 200mlx6 1 each,https://www.sayweee.com/en/product/Binggrae-Coffee-Flavored-Milk-Drink-200mlx6/46172,$8.99,200+ Sold,$8.99/each,Binggrae Coffee Flavored Milk Drink 200mlx6,(3),South Korea,Binggrae
Mengniu Peekamoo Milky Drink Original 6pk 1500 ml,https://www.sayweee.com/en/product/Mengniu-Peekamoo-Milky-Drink-Original-6pk/99966,$7.99,200+ Sold,,Mengniu Peekamoo Milky Drink Original 6pk,(14),Mainland China,
Number One Energy Drink 11.8 oz,https://www.sayweee.com/en/product/Number-One-Energy-Drink/38305,$1.29,200+ Sold,$0.10/oz,Number One Energy Drink,,Vietnam,
Moshi Yuzu & White Peach Sparkling Drink 12 oz,https://www.sayweee.com/en/product/Moshi-Yuzu---White-Peach-Sparkling-Drink/3918,$2.99,200+ Sold,$0.24/oz,Moshi Yuzu & White Peach Sparkling Drink,(1),United States,
"Calpico Non-Carbonated Soft Drink, Strawberry Flavor 50.7 fl.oz",https://www.sayweee.com/en/product/Calpico-Non-Carbonated-Soft-Drink--Strawberry-Flavor/28775,$5.79,200+ Sold,$0.11/fl.oz,"Calpico Non-Carbonated Soft Drink, Strawberry Flavor",(26),Japan,Calpico
Hawthorn Berry Sparkling Drink   230 ml,https://www.sayweee.com/en/product/Hawthorn-Berry-Sparkling-Drink--/31003,$2.49,200+ Sold,,Hawthorn Berry Sparkling Drink,(5),Mainland China,
Awastea Red Bean Black Glutinous Rice Drink 30ct 450 g,https://www.sayweee.com/en/product/Awastea-Red-Bean-Black-Glutinous-Rice-Drink-30ct/85422,$17.09,200+ Sold,$0.03/g,Awastea Red Bean Black Glutinous Rice Drink 30ct,(50),Taiwan,Awastea
Ishiya Shiroi Koibito White Lover Chocolate Milk Drink  190 g,https://www.sayweee.com/en/product/Ishiya-Shiroi-Koibito-White-Lover-Chocolate-Milk-Drink-/83422,$4.89,200+ Sold,,Ishiya Shiroi Koibito White Lover Chocolate Milk Drink,(2),Japan,
Choya Non-Alchoholic Plum Drink 700 ml,https://www.sayweee.com/en/product/Choya-NonAlchoholic-Plum-Drink/39601,$14.99,200+ Sold,,Choya Non-Alchoholic Plum Drink,(38),Japan,
Fremo Aloe Vera Drink Original Flavor 500 ml,https://www.sayweee.com/en/product/Fremo-Aloe-Vera-Drink-Original-Flavor/29393,$1.99,100+ Sold,,Fremo Aloe Vera Drink Original Flavor,(4),South Korea,
Nongfu C100 Grapefruit Drink 445 ml,https://www.sayweee.com/en/product/Nongfu-C100-Grapefruit-Drink/9369,$2.39,100+ Sold,,Nongfu C100 Grapefruit Drink,(8),Mainland China,
MN Peekamoo Milky Drink Blueberry 6pk  1500 ml,https://www.sayweee.com/en/product/MN-Peekamoo-Milky-Drink-Blueberry-6pk-/1339,$7.29,100+ Sold,,MN Peekamoo Milky Drink Blueberry 6pk,(6),Mainland China,MN
"Calpico Non-Carbonated Soft Drink, Lychee Flavor 16.9 oz",https://www.sayweee.com/en/product/Calpico-NonCarbonated-Soft-Drink-Lychee-Flavor/96132,$2.49,100+ Sold,$0.14/oz,"Calpico Non-Carbonated Soft Drink, Lychee Flavor",(34),Japan,Calpico
ChengYangJi HaiNan Old Fashion Coconut Drink  420 ml,https://www.sayweee.com/en/product/ChengYangJi-HaiNan-Old-Fashion-Coconut-Drink-/19202,$3.90,100+ Sold,,ChengYangJi HaiNan Old Fashion Coconut Drink,(1),Mainland China,
FOCO Tamarind Drink 350 ml,https://www.sayweee.com/en/product/FOCO-Tamarind-Drink/83830,$1.69,100+ Sold,,FOCO Tamarind Drink,,Thailand,
Seoul Milk Black Sesame Flavored Milk Drink 6pk 1 box,https://www.sayweee.com/en/product/Seoul-Milk-Black-Sesame-Flavored-Milk-Drink-6pk/26524,$6.99,100+ Sold,$6.99/box,Seoul Milk Black Sesame Flavored Milk Drink 6pk,,South Korea,
"Ito En Japanese Matcha and Green Tea Energy Drink, Unsweetened 155 ml",https://www.sayweee.com/en/product/Ito-En-Japanese-Matcha-and-Green-Tea-Energy-Drink--Unsweetened/85357,$2.59,50+ Sold,,"Ito En Japanese Matcha and Green Tea Energy Drink, Unsweetened",,Japan,
Star Lychee Drink 1.5L  1 bottle,https://www.sayweee.com/en/product/Star-Lychee-Drink-1-5L-/84770,$2.99,50+ Sold,$2.99/bottle,Star Lychee Drink 1.5L,(1),Saudi Arabia,
Nongfu C100 Lemon Drink 445 ml,https://www.sayweee.com/en/product/Nongfu-C100-Lemon-Drink/9374,$2.39,50+ Sold,,Nongfu C100 Lemon Drink,(1),Mainland China,
Yeo's Chrysanthemum Tea Drink 6pk 1 box,https://www.sayweee.com/en/product/Yeo-s-Chrysanthemum-Tea-Drink-6pk/94203,$4.99,50+ Sold,$4.99/box,Yeo's Chrysanthemum Tea Drink 6pk,(5),,
CJJ Passion Fruit Jelly Drink 220 g,https://www.sayweee.com/en/product/CJJ-Passion-Fruit-Jelly-Drink/26010,$2.79,50+ Sold,,CJJ Passion Fruit Jelly Drink,(4),Taiwan,
Chin Chin Guava Juice Drink  10.8 oz,https://www.sayweee.com/en/product/Chin-Chin-Guava-Juice-Drink-/42696,$1.49,50+ Sold,$0.13/oz,Chin Chin Guava Juice Drink,(3),Taiwan,CHINCHIN
"Calpico Non-Carbonated Soft Drink, White Peach Flavor 16.9 oz",https://www.sayweee.com/en/product/Calpico-Non-Carbonated-Soft-Drink--White-Peach-Flavor/96134,$2.49,50+ Sold,$0.14/oz,"Calpico Non-Carbonated Soft Drink, White Peach Flavor",(32),Japan,Calpico
Woongjin Morning Rice Drink  50.72 fl.oz,https://www.sayweee.com/en/product/Woongjin-Morning-Rice-Drink-/40966,$4.99,50+ Sold,$0.09/fl.oz,Woongjin Morning Rice Drink,(1),South Korea,
OKF Watermelon with Aloe Drink 500 ml,https://www.sayweee.com/en/product/OKF-Watermelon-with-Aloe-Drink/4918,$1.99,50+ Sold,,OKF Watermelon with Aloe Drink,(23),South Korea,
Yili Youngfun Flavored Milk Drink Strawberry Flavor 1 case,https://www.sayweee.com/en/product/Yili-Youngfun-Flavored-Milk-Drink-Strawberry-Flavor/12294,$28.99,50+ Sold,$28.99/case,Yili Youngfun Flavored Milk Drink Strawberry Flavor,(6),Mainland China,
