Title,Title_link,Price,count___1LWwo,unit_info___32SjE,label___2DYkt,Reviews,Orgin,Brand
Fibisco Choco Crunchies 200 g,https://www.sayweee.com/en/product/Fibisco-Choco-Crunchies/3518,$3.19 ,,,,-4,Philippines,Fibisco
Mauduoli Tamarind Gummy 128 g,https://www.sayweee.com/en/product/Mauduoli-Tamarind-Gummy/43025,$3.99 ,50+ Sold,$0.03/g,,-1,Mainland China,
Milkita Tropical Shake Candy 4.23 oz,https://www.sayweee.com/en/product/Milkita-Tropical-Shake-Candy/35644,$2.99 ,50+ Sold,$0.70/oz,,-3,Indonesia,
"Ricolino Duvalín Candy, Vanilla And Strawberry 18 count",https://www.sayweee.com/en/product/Ricolino-Duval--n-Candy--Vanilla-And-Strawberry/86937,$3.69 ,,$0.20/count,New,,Mexico,
Konjac jelly drink peach flavor 130 g,https://www.sayweee.com/en/product/Konjac-jelly-drink-peach-flavor/85106,$1.69 ,100+ Sold,,,,Mainland China,
Lot 100 Brand Assorted Gummy Candy 150 g,https://www.sayweee.com/en/product/Lot-100-Brand-Assorted-Gummy-Candy/83339,$2.99 ,50+ Sold,,,-1,Malaysia,
U Kiss Mango Flavored Ice Cream Jelly  480 g,https://www.sayweee.com/en/product/U-Kiss-Mango-Flavored-Ice-Cream-Jelly-/83213,$4.39 ,50+ Sold,,,-1,Mainland China,U kiss
"Ricolino Duvalín Candy, Strawberry and Hazelnut 9.52 oz",https://www.sayweee.com/en/product/Ricolino-Duvaln-Candy-Strawberry-and-Hazelnut/76692,$3.19 ,,$0.33/oz,,-3,Mexico,Ricolino
Orihiro 0kcal Jelly Honey Lemon 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Honey-Lemon/84252,$2.99 ,100+ Sold,,,-1,Japan,
Milk Candy Stick (Milk Flavor) 128 g,https://www.sayweee.com/en/product/Milk-Candy-Stick--Milk-Flavor-/84911,$4.89 ,200+ Sold,$0.03/g,New,,Mainland China,
Jack 'N Jill X.O. Coffee Candy 190 g,https://www.sayweee.com/en/product/Jack--N-Jill-X-O--Coffee-Candy/89162,$1.69 ,50+ Sold,,10% Off,-5,Philippines,JACK 'n JILL
Milkita Creamy Shake Lollipop Assorted 4.23 oz,https://www.sayweee.com/en/product/Milkita-Creamy-Shake-Lollipop-Assorted/35642,$4.29 ,,$1.01/oz,,-2,Indonesia,
"Cherry Grandfather Handmade Nougat, Strawberry 100 g",https://www.sayweee.com/en/product/Cherry-Grandfather-Handmade-Nougat--Strawberry/6947,$8.29 ,,$0.08/g,,-5,Taiwan,
"Aji Konjac Jelly, Lychee and Pineapple Flavor 260 g",https://www.sayweee.com/en/product/Aji-Konjac-Jelly--Lychee-and-Pineapple-Flavor/7205,$5.19 ,100+ Sold,,,-1,Mainland China,AJI
American Best Pineapple Candy Curled  7 oz,https://www.sayweee.com/en/product/American-Best-Pineapple-Candy-Curled-/85629,$2.99 ,,$0.42/oz,New,,Vietnam,
