Title,Title_link,Price,count___1LWwo,label___2DYkt,basePrice___25MCL,Headline,Field1,Field2,Field3
"Boy Bawang Cornick, Garlic Flavor 4 oz",https://www.sayweee.com/en/product/Boy-Bawang-Cornick--Garlic-Flavor/3526,$1.29,500+ Sold,,,"Boy Bawang Cornick, Garlic Flavor",(2),Philippines,Boy Bawang
Boy Bawang Mixed Nuts Garlic Flavor 3.54 oz,https://www.sayweee.com/en/product/Boy-Bawang-Mixed-Nuts-Garlic-Flavor/30830,$1.69,200+ Sold,,,Boy Bawang Mixed Nuts Garlic Flavor,(1),Philippines,
Shanliren Watermelon Seeds 170 g,https://www.sayweee.com/en/product/Shanliren-Watermelon-Seeds/39152,$4.09,50+ Sold,,,Shanliren Watermelon Seeds,(1),Mainland China,
Sugo Garlic Adobo Peanuts 100 g,https://www.sayweee.com/en/product/Sugo-Garlic-Adobo-Peanuts/86759,$2.29,50+ Sold,New,,Sugo Garlic Adobo Peanuts,,Philippines,
"Boy Bawang Cornick, Adobo Flavor 4 oz",https://www.sayweee.com/en/product/Boy-Bawang-Cornick--Adobo-Flavor/3525,$1.29,200+ Sold,,,"Boy Bawang Cornick, Adobo Flavor",(8),Philippines,Boy Bawang
ChaCha Jumbo Sunflower Seeds 98 g,https://www.sayweee.com/en/product/ChaCha-Jumbo-Sunflower-Seeds/79654,$2.79,300+ Sold,,,ChaCha Jumbo Sunflower Seeds,(2),Thailand,Cha Cha
[Orion] Peanut Balls 98g 98 g,https://www.sayweee.com/en/product/Orion-Peanut-Balls-98g/88847,$1.99,50+ Sold,,,[Orion] Peanut Balls 98g,(5),South Korea,
"Mushroomstorm Roasted Pecan Nuts,  Cream Flavor 200 g",https://www.sayweee.com/en/product/Mushroomstorm-Roasted-Pecan-Nuts---Cream-Flavor/1780,$14.19,200+ Sold,5% Off,$14.99,"Mushroomstorm Roasted Pecan Nuts,  Cream Flavor",(8),Mainland China,Mushroom Storm
Gong He Sunflower Seeds Pecan Flavor  375 g,https://www.sayweee.com/en/product/Gong-He-Sunflower-Seeds-Pecan-Flavor-/84651,$3.69,400+ Sold,,,Gong He Sunflower Seeds Pecan Flavor,,Mainland China,
"Sabritas Peanuts, Chile and Lime Flavor 7 oz",https://www.sayweee.com/en/product/Sabritas-Peanuts-Chile-and-Lime-Flavor/70394,$2.99,,,,"Sabritas Peanuts, Chile and Lime Flavor",(1),Mexico,
Wow Mani Peanuts with Garlic Chips  325 g,https://www.sayweee.com/en/product/Wow-Mani-Peanuts-with-Garlic-Chips-/32870,$7.99,,,,Wow Mani Peanuts with Garlic Chips,(1),Philippines,
"Orion Coated Peanut Ball, Large Size 202 g",https://www.sayweee.com/en/product/Orion-Coated-Peanut-Ball--Large-Size/27261,$3.99,50+ Sold,,,"Orion Coated Peanut Ball, Large Size",(1),South Korea,
Khao Shong Coconut Peanut 12.7 oz,https://www.sayweee.com/en/product/Khao-Shong-Coconut-Peanut/22487,$7.99,,New,,Khao Shong Coconut Peanut,(1),Vietnam,
