Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Woodstock Farms Organic Dried Mango Slices 6 oz,https://www.sayweee.com/en/product/Woodstock-Farms-Organic-Dried-Mango-Slices/79721,$7.99,50+ Sold,$1.33/oz,Woodstock Farms Organic Dried Mango Slices,,United States,
Preserved Plum 4 oz,https://www.sayweee.com/en/product/Preserved-Plum/84583,$7.49,100+ Sold,$1.87/oz,Preserved Plum,(2),Taiwan,
iFactory Umeboshi Pickled Plum Taste Sheet  40 g,https://www.sayweee.com/en/product/iFactory-Umeboshi-Pickled-Plum-Taste-Sheet-/85599,$6.99,300+ Sold,$0.17/g,iFactory Umeboshi Pickled Plum Taste Sheet,,Japan,
Jir Aporn Solar Dried Banana 240 g,https://www.sayweee.com/en/product/Jir-Aporn-Solar-Dried-Banana/19542,$3.99,300+ Sold,,Jir Aporn Solar Dried Banana,(16),Thailand,
Vinamit Brand Mixed Fruit Chips 250 g,https://www.sayweee.com/en/product/Vinamit-Brand-Mixed-Fruit-Chips/44054,$3.99,100+ Sold,,Vinamit Brand Mixed Fruit Chips,(6),Vietnam,
Dragonfly Gooseberry with Chili 6 oz,https://www.sayweee.com/en/product/Dragonfly-Gooseberry-with-Chili/14004,$2.69,50+ Sold,$0.44/oz,Dragonfly Gooseberry with Chili,(6),Vietnam,
Taiwan Seedless Plum Honey Flavor  40 g,https://www.sayweee.com/en/product/Taiwan-Seedless-Plum-Honey-Flavor-/84647,$2.99,50+ Sold,$0.07/g,Taiwan Seedless Plum Honey Flavor,(1),Taiwan,
Huihong Dried Bayberry 300 g,https://www.sayweee.com/en/product/Huihong-Dried-Bayberry/84931,$4.39,50+ Sold,,Huihong Dried Bayberry,,Mainland China,
Koushuiwa Marinated Spicy Lotus Roots 600 g,https://www.sayweee.com/en/product/Koushuiwa-Marinated-Spicy-Lotus-Roots/10911,$6.99,50+ Sold,,Koushuiwa Marinated Spicy Lotus Roots,(50),Mainland China,Koushuiwa
Simply Food Premium Dried Mangos 16 oz,https://www.sayweee.com/en/product/Simply-Food-Premium-Dried-Mangos/15388,$12.49,50+ Sold,$0.78/oz,Simply Food Premium Dried Mangos,(4),Vietnam,Simply Food
"Dried Pitted Preserved Plum, Brown Sugar Flavor 36 g",https://www.sayweee.com/en/product/Dried-Pitted-Preserved-Plum--Brown-Sugar-Flavor/39326,$2.79,200+ Sold,$0.07/g,"Dried Pitted Preserved Plum, Brown Sugar Flavor",(1),Mainland China,
Hawthorn Berry Jam Stick 250 g,https://www.sayweee.com/en/product/Hawthorn-Berry-Jam-Stick/69504,$2.39,200+ Sold,,Hawthorn Berry Jam Stick,(17),Mainland China,
Simply Food Premium Dried Mango 8 oz,https://www.sayweee.com/en/product/Simply-Food-Premium-Dried-Mango/99581,$7.29,50+ Sold,$0.91/oz,Simply Food Premium Dried Mango,(16),Vietnam,Simply Food
American Best Ginger Slice Candy  7 oz,https://www.sayweee.com/en/product/American-Best-Ginger-Slice-Candy-/85621,$6.59,50+ Sold,$0.94/oz,American Best Ginger Slice Candy,,Vietnam,
7D Mangorind 90 g,https://www.sayweee.com/en/product/7D-Mangorind/11585,$2.29,100+ Sold,,7D Mangorind,(2),Philippines,
FREEZE-Dried Strawberry 18G 18 g,https://www.sayweee.com/en/product/FREEZEDried-Strawberry-18G/22957,$5.99,100+ Sold,$0.33/g,FREEZE-Dried Strawberry 18G,,Mainland China,
Ume House Brown Sugar Plum  50 g,https://www.sayweee.com/en/product/Ume-House-Brown-Sugar-Plum-/30886,$4.49,50+ Sold,$0.08/g,Ume House Brown Sugar Plum,(1),Mainland China,
Taiwan Seedless Plum Chili Flavor 40 g,https://www.sayweee.com/en/product/Taiwan-Seedless-Plum-Chili-Flavor/84648,$2.99,,$0.07/g,Taiwan Seedless Plum Chili Flavor,,Taiwan,
"SH Roasted Walnut, Five Spices Flavor  418 g",https://www.sayweee.com/en/product/SH-Roasted-Walnut--Five-Spices-Flavor-/4237,$7.99,100+ Sold,,"SH Roasted Walnut, Five Spices Flavor",(13),Mainland China,
Rock Candy Chinese Bayberries 10 oz 10 oz,https://www.sayweee.com/en/product/Rock-Candy-Chinese-Bayberries-10-oz/1713,$7.29,50+ Sold,$0.72/oz,Rock Candy Chinese Bayberries 10 oz,(76),Taiwan,
Preserved Olive 8 oz,https://www.sayweee.com/en/product/Preserved-Olive/897,$6.29,100+ Sold,$0.78/oz,Preserved Olive,(1),Taiwan,
JHL Preserved Mango Chili 7 oz,https://www.sayweee.com/en/product/JHL-Preserved-Mango-Chili/14403,$2.89,,$0.41/oz,JHL Preserved Mango Chili,(1),Thailand,
Salted Dried Peach  170 g,https://www.sayweee.com/en/product/Salted-Dried-Peach-/30147,$5.99,,$0.03/g,Salted Dried Peach,(7),Mainland China,
Trai Cay Say Mix Fruit Chips  7 oz,https://www.sayweee.com/en/product/Trai-Cay-Say-Mix-Fruit-Chips-/3663,$3.99,,$0.57/oz,Trai Cay Say Mix Fruit Chips,(1),Vietnam,
Ume House Dried Plums 70 g,https://www.sayweee.com/en/product/Ume-House-Dried-Plums/7198,$4.19,100+ Sold,$0.05/g,Ume House Dried Plums,(11),Mainland China,Ume House
Ume House Dried Honey Plums 80 g,https://www.sayweee.com/en/product/Ume-House-Dried-Honey-Plums/7200,$4.49,200+ Sold,$0.05/g,Ume House Dried Honey Plums,(19),Mainland China,Ume House
Plum Village Plum Powder  80 g,https://www.sayweee.com/en/product/Plum-Village-Plum-Powder-/15360,$6.49,,$0.08/g,Plum Village Plum Powder,(15),Taiwan,
Wholeberry Dried Delicious Passion Fruit Snack Rounds 8 oz,https://www.sayweee.com/en/product/Wholeberry-Dried-Delicious-Passion-Fruit-Snack-Rounds/11012,$12.29,50+ Sold,$1.53/oz,Wholeberry Dried Delicious Passion Fruit Snack Rounds,(48),Vietnam,
Dried Crisp Winter Jujube  100 g,https://www.sayweee.com/en/product/Dried-Crisp-Winter-Jujube-/35783,$3.69,100+ Sold,$0.03/g,Dried Crisp Winter Jujube,(31),Mainland China,
Hawthorn Fruit Rolls 227 g,https://www.sayweee.com/en/product/Hawthorn-Fruit-Rolls/34439,$3.89,,,Hawthorn Fruit Rolls,(2),Mainland China,
"Preserved Plum Sheet, Original Flavor 52 g",https://www.sayweee.com/en/product/Preserved-Plum-Sheet--Original-Flavor/39335,$3.49,100+ Sold,$0.06/g,"Preserved Plum Sheet, Original Flavor",(4),Mainland China,
Meiguohui Yanjin Tangerine Peel 100 g,https://www.sayweee.com/en/product/Meiguohui-Yanjin-Tangerine-Peel/39148,$2.49,,,Meiguohui Yanjin Tangerine Peel,(1),Mainland China,
Honey Wompee 120 g,https://www.sayweee.com/en/product/Honey-Wompee/39221,$3.49,,,Honey Wompee,(2),Mainland China,
