Title,Title_link,Thumbnail,brand-title,price-sup,Price,comment-star__count,Headline,Field1,Field2,Field3
Deka Mini Wafer Bites Choco Choco 200g,https://www.yamibuy.com/en/p/jans-deka-mini-wafer-bites-choco-choco-200g/1016045161?scene=item_search.result&bu_type=search&module_name=input&index=44&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JANS,Buy $150 get 1 free gift,$3.49,,Deka Mini Wafer Bites Choco Choco 200g,2,Indonesia,5
ELISE Rich Black and White Chocolate Wafer Rolls 44pcs 5.57oz,https://www.yamibuy.com/en/p/bourbon-elise-rich-black-and-white-chocolate-wafer-rolls-44pcs-5-57oz/1016076581?scene=item_search.result&bu_type=search&module_name=input&index=45&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,Buy $150 get 1 free gift,$4.99,,ELISE Rich Black and White Chocolate Wafer Rolls 44pcs 5.57oz,7,Japan,4.9
KIT KAT Macha Latte Chocolate wafer 11pc,https://www.yamibuy.com/en/p/kit-kat-macha-latte-chocolate-wafer-11pc/3018048261?scene=item_search.result&bu_type=search&module_name=input&index=46&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT Macha Latte Chocolate wafer 11pc,Be the first!,Japan,
Cheese Cream Wafer 50g,https://www.yamibuy.com/en/p/cheese-cream-wafer-50g/3016091161?scene=item_search.result&bu_type=search&module_name=input&index=47&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A1,,,,Cheese Cream Wafer 50g,Be the first!,Malaysia,
Pink Lava Flavoured Wafer 50g,https://www.yamibuy.com/en/p/pink-lava-flavoured-wafer-50g/3016091151?scene=item_search.result&bu_type=search&module_name=input&index=48&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A1,,,,Pink Lava Flavoured Wafer 50g,Be the first!,Malaysia,
,,,,,,,,,,
,,,,,,,,,,
Mini Wafer Bites Ube 200g,https://www.yamibuy.com/en/p/mini-wafer-bites-ube-200g/3016098721,https://cdn.yamibuy.net/item/bed4a7134f483089efbfbe241844dc71_684x684.webp,LAVA BITES,,,,Mini Wafer Bites Ube 200g,Be the first!,Malaysia,
KIT KAT Cocoa Chocolate wafer 12pc,https://www.yamibuy.com/en/p/kit-kat-cocoa-chocolate-wafer-12pc/3018046911,https://cdn.yamibuy.net/item/17a6bd9a8dc3c5d14ce180de0452ab7f_684x684.webp,NESTLE,,,1,KIT KAT Cocoa Chocolate wafer 12pc,1,Japan,5
KITKAT Orange Chocolate wafer 9pc,https://www.yamibuy.com/en/p/kitkat-orange-chocolate-wafer-12pc/3018039081,https://cdn.yamibuy.net/item/34cddeb3e2e0d064c0d7e6807453d110_684x684.webp,NESTLE,,,,KITKAT Orange Chocolate wafer 9pc,Be the first!,Japan,
