Title,Title_link,brand-title,Price,comment-star__count,Field1,Field2,Field3
USDA Organic Kidney Bean 454g,https://www.yamibuy.com/en/p/big-green-usda-organic-kidney-bean-454g/1021034201?scene=item_search.result&bu_type=search&module_name=input&index=36&content=dried%20bean%20curd,BIG GREEN,$3.99,11,11,China,4.8
Freeze Dried Pear Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-pear-slices-20g/1019034301?scene=item_search.result&bu_type=search&module_name=input&index=37&content=dried%20bean%20curd,BIG GREEN,,58,58,China,4.6
Freeze Dried Banana Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-banana-slices-20g/1019034281?scene=item_search.result&bu_type=search&module_name=input&index=38&content=dried%20bean%20curd,BIG GREEN,,41,41,China,4.2
Walnut Sesame and Black Bean Meal 600g,https://www.yamibuy.com/en/p/wugu-mofang-walnut-sesame-and-black-bean-meal-600g/1021061411?scene=item_search.result&bu_type=search&module_name=input&index=39&content=dried%20bean%20curd,WUGU MOFANG,,237,237,China,4.9
Red Bean Sand Porridge 370g,https://www.yamibuy.com/en/p/taiqi-red-bean-sand-porridge-370g/1021042271?scene=item_search.result&bu_type=search&module_name=input&index=40&content=dried%20bean%20curd,TAIQI,,42,42,China,4.9
Red Bean Purple Rice Coix Seed Drink 15g*30,https://www.yamibuy.com/en/p/red-bean-black-glutinous-rice-drink/1020056681?scene=item_search.result&bu_type=search&module_name=input&index=41&content=dried%20bean%20curd,Yami,,272,272,United States,4.91
PI XIAN Broad Bean Paste 227g,https://www.yamibuy.com/en/p/pi-xian-broad-bean-paste-227g/1021012991?scene=item_search.result&bu_type=search&module_name=input&index=42&content=dried%20bean%20curd,JUAN CHENG PAI,$1.69,232,232,China,4.7
Sweet Red Bean Paste 500g,https://www.yamibuy.com/en/p/wangzhihe-sweet-bean-paste-500g/1021014881?scene=item_search.result&bu_type=search&module_name=input&index=43&content=dried%20bean%20curd,WANGZHIHE,,244,244,China,4.8
Beijing Jjajang Noodles Stir Fried Black Bean Flavor 5 Pack 675g,https://www.yamibuy.com/en/p/ottogi-beijing-jjiajang-noodle-5packs/1021002861?scene=item_search.result&bu_type=search&module_name=input&index=44&content=dried%20bean%20curd,OTTOGI,$4.99,351,351,Korea,4.4
Egg Yolk Puff with Chewy Mochi and Red Bean Paste 330g,https://www.yamibuy.com/en/p/fortune-bakery-egg-yolk-puff-red-bean-flavor-330g/1016058961?scene=item_search.result&bu_type=search&module_name=input&index=45&content=dried%20bean%20curd,FORTUNE BAKERY,$19.99,420,420,United States,4.6
Fragrant Dried Olives 70g,https://www.yamibuy.com/en/p/fragrant-olices-70g/1019073681?scene=item_search.result&bu_type=search&module_name=input&index=46&content=dried%20bean%20curd,yifen,$2.19,,Be the first!,China,
Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,https://www.yamibuy.com/en/p/red-bean-and-barley-rice-noodles-low-fat-and-high-fiber-classic-damp-removing-meal-replacement-powder-50/1147008401?scene=item_search.result&bu_type=search&module_name=input&index=47&content=dried%20bean%20curd,MR FANG'S STORE,,23,23,China,5
Mochi with Red Bean Filling 180g,https://www.yamibuy.com/en/p/formosa-yay-mochi-with-red-bean-filling-180g/1016005631?scene=item_search.result&bu_type=search&module_name=input&index=48&content=dried%20bean%20curd,FORMOSA YAY,$1.99,122,122,Taiwan,4.3
,,,,,,,
Red Bean Purple Rice Barley Tea 15g x 30 bags,https://www.yamibuy.com/en/p/awastea-ed-bean-purple-rice-barley-tea-15g-x-30-bags/1030014031,AWASTEA,,272,272,Taiwan,4.91
Dried Mustard Seaweed 100g,https://www.yamibuy.com/en/p/dried-mustard-seaweed-100g/1149012331,KWANGCHEONKIM,$3.49,,Be the first!,Korea,
Red Bean Soup with Pearl Barley 300g Gluten Free,https://www.yamibuy.com/en/p/instant-purple-rice-porridge-300g-gluten-free/1147010121,TOTOLE,$1.99,20,20,China,4.2
Pia Durian Cake Egg Yolk Taro Mung Bean Flavor 400g,https://www.yamibuy.com/en/p/pia-cake-yolk-mung-bean-durianu-taro-mixed-3-mien-400g/1016089751,THIEN SA,$5.69,14,14,Vietnam,4.6
