Title,Title_link,Thumbnail,brand-title,price-sup,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Flavoured Potato Chips K-Kimchi Flavour 50g,https://www.yamibuy.com/en/p/flavoured-potato-chips-k-kimchi-flavour-50g/3017041481,https://cdn.yamibuy.net/item/f03f177443aac4972fcd2f65c1b52c24_684x684.webp,WISE Cottage Fries,,,,,Flavoured Potato Chips K-Kimchi Flavour 50g,Be the first!,Malaysia,
Black Truffle Potato Chips 160g,https://www.yamibuy.com/en/p/black-truffle-potatoes-chips-160g/3017041161,https://cdn.yamibuy.net/item/fca2959befbb0040c29af33baedb796c_684x684.webp,Mychef‘s,,,,,Black Truffle Potato Chips 160g,Be the first!,Malaysia,
TAINAN ONLY Cheng Gong Potato Chips (Cadina - Mango Flavor) 78g,https://www.yamibuy.com/en/p/tainan-only-cheng-gong-potato-chips-cadina-mango-flavor-78g/3017035621,https://cdn.yamibuy.net/item/9a10ca51d86a5691842fa4310b5d174a_684x684.webp,LIEN HAW FOODS,,,,,TAINAN ONLY Cheng Gong Potato Chips (Cadina - Mango Flavor) 78g,Be the first!,Taiwan,
Saucy BBQ Flavor Potato Chips 107g,https://www.yamibuy.com/en/p/pringles-saucy-bbq-flavor-potato-chips-107g/3017032161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Pringles,,,,,Saucy BBQ Flavor Potato Chips 107g,Be the first!,Japan,
TWISTIES CHACHO'S Tortilla Corn Chips Cheesy Cheese 185g,https://www.yamibuy.com/en/p/mondelez-twisties-chacho-s-tortilla-corn-chips-cheesy-cheese-185g/3017031401,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MONDELEZ,,,,,TWISTIES CHACHO'S Tortilla Corn Chips Cheesy Cheese 185g,Be the first!,Japan,
TWISTIES CHACHO'S Tortilla Corn Chips BBQ Bonanza 70g,https://www.yamibuy.com/en/p/mondelez-twisties-chacho-s-tortilla-corn-chips-bbq-bonanza-80g/3017031371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MONDELEZ,,,,,TWISTIES CHACHO'S Tortilla Corn Chips BBQ Bonanza 70g,Be the first!,Japan,
Satay Flavoured Chips 60g,https://www.yamibuy.com/en/p/miaow-miaow-satay-flavoured-chips-60g/3017029291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MIAOW MIAOW,,,,,Satay Flavoured Chips 60g,Be the first!,Malaysia,
HOKKAIDO Potato Farm Kelp Kumbo Chips 6pc,https://www.yamibuy.com/en/p/hokkaido-calbee-potato-farm-kelp-kumbo-chips-6pc/3017015511,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,,,,18 Options,HOKKAIDO Potato Farm Kelp Kumbo Chips 6pc,1,Japan,5
Bruschette Chips Slow Roasted Garlic Flavour 70g,https://www.yamibuy.com/en/p/bruschette-chips-slow-roasted-garlic-flavour-70g/3017042181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOPIKO,,,,,Bruschette Chips Slow Roasted Garlic Flavour 70g,Be the first!,Indonesia,
Chicken Edition Potato Chips 68g,https://www.yamibuy.com/en/p/chitato-chicken-edition-potato-chips-68g/3017034621,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHITATO,,,,,Chicken Edition Potato Chips 68g,Be the first!,Malaysia,
