Title,Title_link,Thumbnail,brand-title,brand-variants,comment-star__count,Price,Headline,Field1,Field2,Field3,Field4
Taro Mochi Pastry 6pcs 300g,https://www.yamibuy.com/en/p/taro-mochi-pastry-purple/1016064541?scene=item_search.result&bu_type=search&module_name=input&index=26&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TACHIA MASTER,,,$25.99,Taro Mochi Pastry 6pcs 300g,95,China,,4.7
Taiwan Dessert Sesame Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-sesame-mochi-210g/1016059781?scene=item_search.result&bu_type=search&module_name=input&index=27&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$2.29,Taiwan Dessert Sesame Mochi 210g,21,Taiwan,,4.6
Taiwan Dessert Red Bean Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-red-bean-mochi-210g/1016059771?scene=item_search.result&bu_type=search&module_name=input&index=28&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$2.29,Taiwan Dessert Red Bean Mochi 210g,19,Taiwan,,4.2
Gluten Free Mochi Cakes Matcha 210g,https://www.yamibuy.com/en/p/royal-family-gluten-free-mochi-cakes-matcha-210g/1016059681?scene=item_search.result&bu_type=search&module_name=input&index=29&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,3 Options,,$2.49,Gluten Free Mochi Cakes Matcha 210g,19,Taiwan,,4
"Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste ,330g",https://www.yamibuy.com/en/p/fortune-bakery-egg-yolk-puff-lotus-paste-flavor-330g/1016058971?scene=item_search.result&bu_type=search&module_name=input&index=30&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,8 Options,,$19.99,"Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste ,330g",346,United States,Lotus Seed Paste,4.8
DXC-Fruit Mochi Matcha Flavor 210g,https://www.yamibuy.com/en/p/dxc-fruit-mochi-matcha-flavor-210g/1016057011?scene=item_search.result&bu_type=search&module_name=input&index=31&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,3 Options,,$4.39,DXC-Fruit Mochi Matcha Flavor 210g,183,China,Matcha Flavor 210g,4.6
"CHEWY PUFF Mochi, Matcha and Red Bean 330g",https://www.yamibuy.com/en/p/chewy-puff-mochi-matcha-and-red-bean-330g/1016082121?scene=item_search.result&bu_type=search&module_name=input&index=32&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,5 Options,8,$15.99,"CHEWY PUFF Mochi, Matcha and Red Bean 330g",8,United States,Matcha Red Beans,4.9
Taiwan Dessert Coco Pandan Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-coco-pandan-mochi-210g/1016059811?scene=item_search.result&bu_type=search&module_name=input&index=33&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$2.29,Taiwan Dessert Coco Pandan Mochi 210g,27,Taiwan,,4.6
"CHEWY PUFF Mochi, and Red Bean 330g",https://www.yamibuy.com/en/p/chewy-puff-mochi-and-red-bean-330g/1016082141?scene=item_search.result&bu_type=search&module_name=input&index=34&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,5 Options,3,$15.99,"CHEWY PUFF Mochi, and Red Bean 330g",3,United States,Red Beans,4.3
Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste 110g 2pcs,https://www.yamibuy.com/en/p/fortune-bakery-egg-yolk-puff-with-chewy-mochi-and-lotus-seed-paste-110g-two-in/1016061141?scene=item_search.result&bu_type=search&module_name=input&index=35&content=mochi,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,8 Options,,$6.99,Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste 110g 2pcs,167,United States,Lotus Seed Paste,4.9
