Title,Title_link,Thumbnail,brand-title,brand-variants,comment-star__count,Price,Headline,Field1,Field2,Field3,Field4
Nougat And Grilled Puff Cranberry Flavor 120g,https://www.yamibuy.com/en/p/bestore-nougat-and-grilled-puff-cranberry-flavor-120g/3016055461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,,,$7.99,Nougat And Grilled Puff Cranberry Flavor 120g,Be the first!,China,,
Cheese Filled Puffs 60g,https://www.yamibuy.com/en/p/bestore-handmade-sticky-rice-cake-red-bean-flavor-150g/3016054461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,,,$6.99,Cheese Filled Puffs 60g,1,China,,1
DJULIS Red Quinoa Roselle Crisp 180g,https://www.yamibuy.com/en/p/djulis-red-quinoa-cakes-roselle-180g/3016042181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DJULIS,,,,DJULIS Red Quinoa Roselle Crisp 180g,6,Taiwan,,4.3
SHIGA Original Yokan 1pc,https://www.yamibuy.com/en/p/shiga-kanou-original-yokan-1pc/3016038741,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kanou,13 Options,,,SHIGA Original Yokan 1pc,2,Japan,Japan,5
Taitung Qi Ma Su -Brown Sugar Flavor 200g,https://www.yamibuy.com/en/p/ching-tse-taitung-qi-ma-su-brown-sugar-flavors-200g/3016077431,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHING TSE,,,,Taitung Qi Ma Su -Brown Sugar Flavor 200g,1,Taiwan,Taiwan,5
JUIMEI Pineapple Cake 270g 10pcs,https://www.yamibuy.com/en/p/juimei-pineapple-cake-300g-10pcs/3016067771,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIEN HAW FOODS,,,,JUIMEI Pineapple Cake 270g 10pcs,Be the first!,Taiwan,Taiwan,
Taro Pastry 6 pc,https://www.yamibuy.com/en/p/taro-pastry-6-pc/3016094031,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TACHIA MASTER,,,,Taro Pastry 6 pc,Be the first!,China,,
【Best Before: 2022/02/21】Lava Custard Taro Pastry 270g,https://www.yamibuy.com/en/p/lava-custard-taro-pastry-270g/3016094941,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TACHIA MASTER,,,,【Best Before: 2022/02/21】Lava Custard Taro Pastry 270g,Be the first!,China,,
100% Pure Pineapple Shortcake 420g 10pcs,https://www.yamibuy.com/en/p/kuo-yuan-ye-100-pure-pineapple-shortcake-420g-10pcs/3016080971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kuo Yuan Ye,,,,100% Pure Pineapple Shortcake 420g 10pcs,Be the first!,Taiwan,Taiwan,
SHIGA Sakura Limited Gift Box A,https://www.yamibuy.com/en/p/shiga-kanou-sakura-limited-gift-box/3016080431,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Kanou,13 Options,,,SHIGA Sakura Limited Gift Box A,Be the first!,Japan,Japan,
ZENIQUE Black Tea Pineapple Cake 320g 8pcs,https://www.yamibuy.com/en/p/zenique-black-tea-pineapple-cake-320g-8pcs/3016072411,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIEN HAW FOODS,,,,ZENIQUE Black Tea Pineapple Cake 320g 8pcs,Be the first!,Taiwan,Taiwan,
Cranberry Pineapple Pastry 540g 12pcs,https://www.yamibuy.com/en/p/chiate-cranberry-pineapple-pastry-540g-12pcs/3016071931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIA TE,,,,Cranberry Pineapple Pastry 540g 12pcs,4,Taiwan,Taiwan,5
Pineapple Cake 336g 12pcs,https://www.yamibuy.com/en/p/taipei-leechi-pineapple-cake-28g-12pcs/3016067661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Taipei LeeChi,,,,Pineapple Cake 336g 12pcs,2,Taiwan,Taiwan,5
RUYI SUNNY Pineapple Cake 450g 10pcs,https://www.yamibuy.com/en/p/ruyi-sunny-pineapple-cake-450g-10pcs/3016065711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIEN HAW FOODS,,,,RUYI SUNNY Pineapple Cake 450g 10pcs,Be the first!,Taiwan,Taiwan,
Mochi Boba Milk Tea Flavor 240g,https://www.yamibuy.com/en/p/yuki-love-bag-mochi-boba-milk-tea-240g/1016061781,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,,,$4.59,Mochi Boba Milk Tea Flavor 240g,9,Taiwan,,4.2
HAMOCHI Japanese Style Yam Mochi 210g,https://www.yamibuy.com/en/p/hamochi-japanese-style-yam-mochi-210g/1016004701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BAMBOO HOUSE,3 Options,103,$1.99,HAMOCHI Japanese Style Yam Mochi 210g,103,Taiwan,Taiwan,4.3
Red Bean Japanese Mochi 120g,https://www.yamibuy.com/en/p/royal-family-red-bean-japanese-mochi-120g/1016004541,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,110,$1.99,Red Bean Japanese Mochi 120g,110,Taiwan,Taiwan,4.7
Fruit Mochi -Hami Melon 210g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-hami-melon-210g/1016059661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,2 Options,,$2.49,Fruit Mochi -Hami Melon 210g,20,Taiwan,,4
Mochi with Sesame Filling 180g,https://www.yamibuy.com/en/p/formosa-yay-mochi-with-sesame-filling-180g/1016057361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORMOSA YAY,5 Options,,$1.99,Mochi with Sesame Filling 180g,31,Taiwan,,4.8
HAMOCHI Japanese Style Matcha Mochi 210g,https://www.yamibuy.com/en/p/hamochi-japanese-style-matcha-mochi-210g/1016004711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BAMBOO HOUSE,3 Options,155,$1.99,HAMOCHI Japanese Style Matcha Mochi 210g,155,Taiwan,Taiwan,3.9
KOBE Caramel Pudding Chocolate Mochi 18pc,https://www.yamibuy.com/en/p/18/1016066981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OMOCHI,,,,KOBE Caramel Pudding Chocolate Mochi 18pc,1,Japan,,5
Mochi with Matcha Filling 180g,https://www.yamibuy.com/en/p/formosa-yay-mochi-with-matcha-filling-180g/1016057371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORMOSA YAY,5 Options,,$1.99,Mochi with Matcha Filling 180g,12,Taiwan,,4.5
YUKI/LOVE Japan Mochi Brown Sugar 210g,https://www.yamibuy.com/en/p/yuki-love-japan-mochi-brown-sugar-210g/1016005161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,6 Options,43,$2.29,YUKI/LOVE Japan Mochi Brown Sugar 210g,43,Taiwan,Taiwan,3.7
Daifuku Mochi - Lychee 210g,https://www.yamibuy.com/en/p/royal-family-daifuku-mochi-lychee-119g/1016059631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,,$2.49,Daifuku Mochi - Lychee 210g,17,Taiwan,,3.6
HAMOCHI Japanese Style Red Bean Mochi 210g,https://www.yamibuy.com/en/p/hamochi-japanese-style-red-bean-mochi-210g/1016004731,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BAMBOO HOUSE,3 Options,106,$1.99,HAMOCHI Japanese Style Red Bean Mochi 210g,106,Taiwan,Taiwan,4.3
Mochi Boba Milk Tea Flavor 180g,https://www.yamibuy.com/en/p/yuki-love-mochi-boba-milk-tea-180g/1016061791,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,,,$3.49,Mochi Boba Milk Tea Flavor 180g,16,Taiwan,,4.4
Chocolate in Rice Cake Mochi 8pcs,https://www.yamibuy.com/en/p/bourbon-chocolate-in-rice-cake-mochi-8pcs/1016014291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,,38,$3.59,Chocolate in Rice Cake Mochi 8pcs,38,Japan,Japan,4.6
X'mas Chocolate Mochi Daifuku 170g,https://www.yamibuy.com/en/p/x-mas-chocolate-mochi-daifuku-170g/1016091761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YAOKIN,,2,$5.99,X'mas Chocolate Mochi Daifuku 170g,2,Japan,,5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bubble Milk Tea Mochi 180g,https://www.yamibuy.com/en/p/formosa-yay-bbble-milk-tea-mochi-180g/1016064341,https://cdn.yamibuy.net/item/9784d162b5566dbfbfa257dbbe1add87_684x684.webp,FORMOSA YAY,,,$1.99,Bubble Milk Tea Mochi 180g,25,Taiwan,,4.4
matcha mochi 120g,https://www.yamibuy.com/en/p/67932/1016063841,https://cdn.yamibuy.net/item/311c79f6f46c711a03fb458e6e5d655a_684x684.webp,ROYAL FAMILY,3 Options,,$2.29,matcha mochi 120g,7,Taiwan,Matcha Flavor,4.7
Taiwan Dessert Bubble Tea Mochi 7.4oz,https://www.yamibuy.com/en/p/taiwan-dessert-bubble-tea-mochi/1016061831,https://cdn.yamibuy.net/item/8f0eb61cddec737921a3e2b046b0df93_684x684.webp,ROYAL FAMILY,,,$2.29,Taiwan Dessert Bubble Tea Mochi 7.4oz,30,Taiwan,,4.5
Fruit Mochi - Mango 210g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-mango-210g/1016059651,https://cdn.yamibuy.net/item/c76b7e755b848d82971d37f93a8f6e89_684x684.webp,ROYAL FAMILY,2 Options,,$2.79,Fruit Mochi - Mango 210g,19,Taiwan,,4.1
YAMAHIRE Toufu Daifuku,https://www.yamibuy.com/en/p/18/1016066971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YAMAHIDE,,,,YAMAHIRE Toufu Daifuku,Be the first!,Japan,,
Baked Soft Cake - -Peach 200g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-peach-200g/1016059271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,,,$4.29,Baked Soft Cake - -Peach 200g,19,Japan,,4.1
Baked Soft Cake - Chestnut 198g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-chestnut-224g/1016032611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,20,$4.29,Baked Soft Cake - Chestnut 198g,20,Japan,Japan,3.9
Baked Soft Cake - Green Tea 200g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-green-tea-200g/1016032581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,7,$4.29,Baked Soft Cake - Green Tea 200g,7,Japan,Japan,5
Baked Soft Cake 200g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-198g/1016059151,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,,$4.29,Baked Soft Cake 200g,9,Japan,Original Flavor,3.6
Baked Soft Cake  - Melon  198g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-melon-200g/1016032621,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,11,$4.29,Baked Soft Cake  - Melon  198g,11,Japan,Japan,4.6
Baked Soft Cake   - Strawberry 198g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-strawberry-200g/1016032571,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,8,$4.29,Baked Soft Cake   - Strawberry 198g,8,Japan,Japan,4.1
Baked Soft Cake - Orange 198g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-orange-200g/1016032591,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,8,$4.29,Baked Soft Cake - Orange 198g,8,Japan,Japan,2.6
Baked Soft Cake Lemon 200g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-lemon-200g/1016059261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8 Options,,$4.29,Baked Soft Cake Lemon 200g,12,Japan,,4.2
Mochi Peach Flavor 80g,https://www.yamibuy.com/en/p/mochi-peach-flavor-80g/1016095801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,APOJIADE,3 Options,8,,Mochi Peach Flavor 80g,8,China,,4.6
Caco Mochi Choco 80g,https://www.yamibuy.com/en/p/royal-family-caco-mochi-choco-79g/1016059721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,6 Options,,,Caco Mochi Choco 80g,46,Taiwan,,4.4
Cacao Mochi Strawbry 80g,https://www.yamibuy.com/en/p/royal-family-caco-mochi-strawbry-79g/1016059711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,6 Options,,,Cacao Mochi Strawbry 80g,27,Taiwan,,4.4
Assorted Mochi Tropical Passion Fruit Mango Lychee 120g,https://www.yamibuy.com/en/p/royal-family-assorted-mochi-tropical-passion-fruit-mango-litchi-119g/1016059591,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,2 Options,,$2.29,Assorted Mochi Tropical Passion Fruit Mango Lychee 120g,23,Taiwan,Passion Fruit&Mango&Lychee,4.3
Mochi Blueberry Flavor 80g,https://www.yamibuy.com/en/p/mochi-blueberry-flavor-80g/1016095811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,APOJIADE,3 Options,2,$1.39,Mochi Blueberry Flavor 80g,2,China,,5
Mochi Mango Flavor 80g,https://www.yamibuy.com/en/p/mochi-mango-flavor-80g/1016095821,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,APOJIADE,3 Options,1,,Mochi Mango Flavor 80g,1,China,,5
Mochi Ball Taro Milk Flavor 120g,https://www.yamibuy.com/en/p/royal-family-mochi-ball-taro-milk-flavor-120g/1016013881,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,46,$1.99,Mochi Ball Taro Milk Flavor 120g,46,Taiwan,Taiwan,4.5
YUKI/LOVE Japan Mochi Lychee 300g,https://www.yamibuy.com/en/p/yuki-love-japan-mochi-lychee-300g/1016005131,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,6 Options,5,$3.59,YUKI/LOVE Japan Mochi Lychee 300g,5,Taiwan,Taiwan,3
Tai Mochi Red Bean Mochi With Coconut Shred 210g,https://www.yamibuy.com/en/p/royal-family-tai-mochi-red-bean-mochi-with-coconut-shred-210g/1016005561,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,5 Options,30,$2.29,Tai Mochi Red Bean Mochi With Coconut Shred 210g,30,Taiwan,,4.3
Mochi Grape Flavor 180g,https://www.yamibuy.com/en/p/mochi-grape-flavor-180g/1016094911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHAOBAIWEI,3 Options,,$2.69,Mochi Grape Flavor 180g,Be the first!,China,,
Tai Mochi Red Bean Mochi With Sesame 210g,https://www.yamibuy.com/en/p/royal-family-tai-mochi-red-bean-mochi-with-sesame-210g/1016005441,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,5 Options,8,$2.29,Tai Mochi Red Bean Mochi With Sesame 210g,8,Taiwan,,4.6
BAMBOO HOUSE Aiwan MixedI Flavor Mochi 300g,https://www.yamibuy.com/en/p/bamboo-house-aiwan-mixedi-flavor-mochi-300g/1016060301,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOSHANDENGLU,,,$4.29,BAMBOO HOUSE Aiwan MixedI Flavor Mochi 300g,9,Taiwan,,3.9
Taiwan Dessert Mixed Mochi 450g,https://www.yamibuy.com/en/p/royal-family-taiwan-dessert-mixed-mochi-448g/1016059821,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,7 Options,,$4.49,Taiwan Dessert Mixed Mochi 450g,36,Taiwan,,4.8
Gluten Free Mochi Cakes Red Bean 210g,https://www.yamibuy.com/en/p/royal-family-gluten-free-mochi-cakes-red-bean-210g/1016059671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,3 Options,,$2.49,Gluten Free Mochi Cakes Red Bean 210g,18,Taiwan,,4.7
Mochi-Outside Red Bean Cake(Ankoro) 122g,https://www.yamibuy.com/en/p/kubota-mochi-outside-red-bean-cake-ankoro-122g/1016059281,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,,,$3.59,Mochi-Outside Red Bean Cake(Ankoro) 122g,4,Japan,,2
Small Mochi Taro 300g,https://www.yamibuy.com/en/p/beautiful-girl-small-mochi-taro-300g/1016046581,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BEAUTIFUL GIRL,4 Options,,$3.59,Small Mochi Taro 300g,6,Taiwan,Taiwan,3.3
YUKI/LOVE Mochi Roll Taro Creamy 300g,https://www.yamibuy.com/en/p/yuki-love-mochi-roll-taro-creamy-300g/1016040981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,5 Options,,$4.29,YUKI/LOVE Mochi Roll Taro Creamy 300g,5,Taiwan,Taiwan,4
YUKI/LOVE Mochi Roll Green Tea Creamy 300g,https://www.yamibuy.com/en/p/yuki-love-mochi-roll-green-tea-creamy-300g/1016040961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUKI&LOVE,5 Options,,$4.29,YUKI/LOVE Mochi Roll Green Tea Creamy 300g,3,Taiwan,Taiwan,3.7
Kinako Mochi  7pc 49g,https://www.yamibuy.com/en/p/kinako-mochi-7pc-49g/1016095141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TIROL,,1,$1.99,Kinako Mochi  7pc 49g,1,Japan,,5
Matcha Mochi Chocolate 8pc,https://www.yamibuy.com/en/p/look-matcha-mochi/1016081811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,,34,$3.89,Matcha Mochi Chocolate 8pc,34,Japan,,4.5
Tai Mochi Taro Mochi With Coconut Shred 210g,https://www.yamibuy.com/en/p/royal-family-tai-mochi-taro-mochi-with-coconut-shred-210g/1016005571,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,5 Options,23,$2.29,Tai Mochi Taro Mochi With Coconut Shred 210g,23,Taiwan,Taiwan,4.7
Caramel Mochi  7pc 79g,https://www.yamibuy.com/en/p/caramel-mochi-7pc-79g/1016095151,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TIROL,,7,$1.99,Caramel Mochi  7pc 79g,7,Japan,,5
Mochi-Outside Red Bean Cake 136g,https://www.yamibuy.com/en/p/kubota-mitarashi-mochi-140g/1016005051,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,,23,$3.99,Mochi-Outside Red Bean Cake 136g,23,Japan,Japan,4
Sakura Mochi 165g,https://www.yamibuy.com/en/p/sotomatsu-flower-festival-7-sakura-mochi-monaka-165g/1016082051,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SONGWAI,,2,$3.49,Sakura Mochi 165g,2,Japan,,4.5
Fruit Mochi Orange Melon Strawberry 119g,https://www.yamibuy.com/en/p/royal-family-fruit-mochi-orange-hami-melon-strawberry-120g/1016023991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,2 Options,6,$2.29,Fruit Mochi Orange Melon Strawberry 119g,6,Taiwan,Orange&Cantaloupe&Strawberry,4.7
"【2 Pack Value Set】Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste ,330g",https://www.yamibuy.com/en/p/2-pack-value-set-egg-yolk-puff-with-chewy-mochi-and-lotus-seed-paste-330g/1016077881,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,,,,"【2 Pack Value Set】Egg Yolk Puff with Chewy Mochi and Lotus Seed Paste ,330g",5,United States,,5
Mochi Yolk Pas 3pcs 159g,https://www.yamibuy.com/en/p/chen-yun-pao-chuan-moji-yolk-pas-3pcs/1016063991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHEN YUN PAO CHUAN,9 Options,,,Mochi Yolk Pas 3pcs 159g,64,Taiwan,Mochi Yolk Pastry,4.5
Traditional Style Peanut Mochi 140g,https://www.yamibuy.com/en/p/bamboo-house-traditional-style-peanut-mochi-140g/1016060271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOSHANDENGLU,,,$1.99,Traditional Style Peanut Mochi 140g,11,Taiwan,,4.7
Green Tea Red Bean Milk Mochi 150g,https://www.yamibuy.com/en/p/bamboo-house-green-tea-w-red-bean-mochi-150g/1016060251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOSHANDENGLU,,,$2.99,Green Tea Red Bean Milk Mochi 150g,1,Taiwan,,5
Mochi Strawberry Flavor 180g,https://www.yamibuy.com/en/p/mochi-strawberry-flavor-180g/1016094921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHAOBAIWEI,3 Options,,$2.69,Mochi Strawberry Flavor 180g,Be the first!,China,,
Japanese Red Bean Mochi 180g,https://www.yamibuy.com/en/p/royal-family-japanese-red-bean-mochi-180g/1016004911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,12,$2.29,Japanese Red Bean Mochi 180g,12,Taiwan,,3.5
Strawberry Mochi Chocolate 8pc,https://www.yamibuy.com/en/p/look-strawberry-mochi/1016081801,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,,6,$3.99,Strawberry Mochi Chocolate 8pc,6,Japan,,5
Tai Mochi Mixed Mochi 450g,https://www.yamibuy.com/en/p/royal-family-tai-mochi-mixed-mochi-450g/1016005421,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,5 Options,5,$4.59,Tai Mochi Mixed Mochi 450g,5,Taiwan,Taiwan,4.4
"【2 Pack Value Set】Egg Yolk Puff with Chewy Mochi and Red Bean Paste, 330g 6pc *2",https://www.yamibuy.com/en/p/3-pack-value-set-egg-yolk-puff-with-chewy-mochi-and-red-bean-paste-330g-6pc-3/1016077751,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,,,,"【2 Pack Value Set】Egg Yolk Puff with Chewy Mochi and Red Bean Paste, 330g 6pc *2",5,United States,,4.4
TK FOOD Red Bean Mochi 120g,https://www.yamibuy.com/en/p/lao-yang-red-bean-mochi-150g/1016061461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,3 Options,,$2.49,TK FOOD Red Bean Mochi 120g,16,Taiwan,Red Bean,4.2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sesame with Milk Mochi 150g,https://www.yamibuy.com/en/p/bamboo-house-sesame-with-milk-mochi-150g/1016060231,https://cdn.yamibuy.net/item/d040e5957bda7cc9b398e90192ba446b_684x684.webp,BAMBOO HOUSE,,,$2.99,Sesame with Milk Mochi 150g,6,Taiwan,,4
Bubble Milk Tea Mochi 120g,https://www.yamibuy.com/en/p/royal-family-bubble-milk-tea-mochi-119g/1020033831,https://cdn.yamibuy.net/item/2cfd7b99e92533b949177df9473ed53f_684x684.webp,ROYAL FAMILY,,,$2.29,Bubble Milk Tea Mochi 120g,93,Taiwan,,4.6
YUKI/LOVE Mochi Roll Peanut Creamy 300g,https://www.yamibuy.com/en/p/yuki-love-mochi-roll-peanut-creamy-300g/1016040971,https://cdn.yamibuy.net/item/cb62235ab9ead2104cdf360af4b1b09a_684x684.webp,YUKI&LOVE,5 Options,,$4.29,YUKI/LOVE Mochi Roll Peanut Creamy 300g,12,Taiwan,Taiwan,3.8
YUKI/LOVE Japanese Mochi Mixed Flavor 300g,https://www.yamibuy.com/en/p/yuki-love-japanese-mochi-mixed-flavor-300g/1016040941,https://cdn.yamibuy.net/item/82ece7b3314e321fa12f13651cdf1894_684x684.webp,YUKI&LOVE,5 Options,,$3.99,YUKI/LOVE Japanese Mochi Mixed Flavor 300g,6,Taiwan,Taiwan,3.5
Mochi with Mango Flavor,https://www.yamibuy.com/en/p/mochi-with-mango-flavor/1016085211,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,APOJIADE,3 Options,4,$3.59,Mochi with Mango Flavor,4,China,,5
"CHEWY PUFF Mochi, Purple Yam and Rose 330g",https://www.yamibuy.com/en/p/chewy-puff-mochi-purple-yam-and-rose-330g/1016082131,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FORTUNE BAKERY,5 Options,10,$15.99,"CHEWY PUFF Mochi, Purple Yam and Rose 330g",10,United States,Purple Sweet Potato Rose,4.9
Japanese Red Bean Mochi 210g,https://www.yamibuy.com/en/p/royal-family-japanese-red-bean-mochi-210g/1016004691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,24,$2.29,Japanese Red Bean Mochi 210g,24,Taiwan,Taiwan,4.2
Taro Japanese Mochi 210g,https://www.yamibuy.com/en/p/royal-family-taro-japanese-mochi-210g/1016004501,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,16,$2.29,Taro Japanese Mochi 210g,16,Taiwan,Taiwan,4.4
Mini Mixed Mochi Assortment 300g,https://www.yamibuy.com/en/p/royal-family-mini-mixed-mochi-assortment-300g/1016005041,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,24,$3.99,Mini Mixed Mochi Assortment 300g,24,Taiwan,Taiwan,4.5
Tai Mochi Sesame Mochi With Coconut Shred 210g,https://www.yamibuy.com/en/p/royal-family-tai-mochi-sesame-mochi-with-coconut-shred-210g/1016005451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,5 Options,23,$2.49,Tai Mochi Sesame Mochi With Coconut Shred 210g,23,Taiwan,,4.4
Durian Mochi Cake,https://www.yamibuy.com/en/p/royal-family-durian-mochi-cake/1016013911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,13,$2.99,Durian Mochi Cake,13,ROYAL FAMILY,,3.5
TK FOOD Milk Mochi 150g,https://www.yamibuy.com/en/p/lao-yang-milk-mochi-150g/1016061451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,3 Options,,$2.49,TK FOOD Milk Mochi 150g,17,Taiwan,Milk,4.3
BAMBOO HOUSE  Traditional Style Sesame Mochi 140g,https://www.yamibuy.com/en/p/bamboo-house-traditional-style-sesame-mochi-140g/1016060281,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOSHANDENGLU,2 Options,,$1.99,BAMBOO HOUSE  Traditional Style Sesame Mochi 140g,22,Taiwan,,4.5
