Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2
Banh Pia Taro Durian Cake Yolk 4pc 400g,https://www.yamibuy.com/en/p/bsnh-pia-taro-durian-yolk-400g/1016063651,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,THIEN SA,74,$9.69,3 Options,Banh Pia Taro Durian Cake Yolk 4pc 400g,4.5,Vietnam
YZD Mini Cake Salted Egg Yolk Flavor 188g,https://www.yamibuy.com/en/p/yzd-mini-cake-salted-egg-yolk-flavor-188g/1016096831,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI Taiwan,9,$3.49,,YZD Mini Cake Salted Egg Yolk Flavor 188g,4.2,Taiwan
YZD Mini Cake Milk Flavor 188g,https://www.yamibuy.com/en/p/yzd-mini-cake-milk-flavor-188g/1016096841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI Taiwan,4,$3.49,,YZD Mini Cake Milk Flavor 188g,4.5,Taiwan
Mung Bean Cake Osmanthus Flavor 190g,https://www.yamibuy.com/en/p/zhiweiguan-mung-bean-cake-osmanthus-flavor-190g/1150000481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,zhiweiguan,137,$7.79,4 Options,Mung Bean Cake Osmanthus Flavor 190g,4.7,China
Custard Cream Cake Family Size 12pc 276g,https://www.yamibuy.com/en/p/lotte-creamy-egg-yolk-filling-pie-12pcs-276g-family-size/1016009131,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOTTE Korea,137,$7.89,2 Options,Custard Cream Cake Family Size 12pc 276g,4.6,Korea
Pineapple Cake 45g*12,https://www.yamibuy.com/en/p/original-pineapple-cake-45g-12/1016082811,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHIA TE,4,$39.99,,Pineapple Cake 45g*12,5,Taiwan
Ball Cake Cookie 210g,https://www.yamibuy.com/en/p/want-want-ball-cake-cookie-210g/1016000271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,248,$4.29,6 Options,Ball Cake Cookie 210g,4.9,Taiwan
【Frozen】Jujube And Pumpkin Rice Cake,https://www.yamibuy.com/en/p/frozen-jujube-and-pumpkin-rice-cake/1149014601,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUANGFEIHONG,1,$3.69,,【Frozen】Jujube And Pumpkin Rice Cake,5,China
Taiwan Pineapple Cake 227g,https://www.yamibuy.com/en/p/nice-choice-taiwan-pineapple-cake-227g/1016004991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NICE CHOICE,187,$2.99,,Taiwan Pineapple Cake 227g,4.2,Taiwan
Rice Cake Brown Sugar with Ginger Flavor 500g,https://www.yamibuy.com/en/p/rice-cake-brn-sugar-gnar-500g/1016078071,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUFU,6,,,Rice Cake Brown Sugar with Ginger Flavor 500g,4.3,China
Rice Cake with Black Bean Sauce 128g,https://www.yamibuy.com/en/p/rice-cake-with-black-bean-sauce-128g/1147012041,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTASTE,,$2.99,,Rice Cake with Black Bean Sauce 128g,,Korea
Date Medlar Flour Cake 12 pack in 270g,https://www.yamibuy.com/en/p/bestore-date-medlar-flour-cake-12-pack-in-270g/1016029741,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,24,$3.59,,Date Medlar Flour Cake 12 pack in 270g,4.2,China
LAVA Cake Cheese Flavor 220g,https://www.yamibuy.com/en/p/cheese-biscuit-220g/1016080611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI,29,$6.49,3 Options,LAVA Cake Cheese Flavor 220g,4.7,China
Rice Cake with Spicy Sauce 128g,https://www.yamibuy.com/en/p/rice-cake-with-spicy-sauce-128g/1147012021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTASTE,,$2.99,,Rice Cake with Spicy Sauce 128g,,Korea
Baum Cake Cheese Flavor 225g,https://www.yamibuy.com/en/p/marukin-baum-cake-cheese-flavor-232g/1016060761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,108,,5 Options,Baum Cake Cheese Flavor 225g,4.5,Japan
Ppushu Ppushu Noodle Snack Spicy Rice Cake Flavor 90g,https://www.yamibuy.com/en/p/ottogi-ppushu-ppushu-noodle-snack-spicy-rice-cake-flavor-90g/1021003001,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTTOGI,79,,6 Options,Ppushu Ppushu Noodle Snack Spicy Rice Cake Flavor 90g,4,Korea
Baolaifa Brown Sugar Rice Cake -Red Bean 550g,https://www.yamibuy.com/en/p/baolaifa-brown-sugar-rice-cake-red-bean-550g/1150004081,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,宝来发,1,$21.99,,Baolaifa Brown Sugar Rice Cake -Red Bean 550g,5,Taiwan
Cup Rice Cake Jjajang 144g,https://www.yamibuy.com/en/p/cup-rice-cake-jjajang-142g/1017037931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WELLHEIM,7,$2.49,,Cup Rice Cake Jjajang 144g,4.6,Korea
Pineapple Cake 227g,https://www.yamibuy.com/en/p/pineapple-cake-227g/1016095831,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NICE CHOICE,1,$1.99,,Pineapple Cake 227g,5,Taiwan
Sandwich Cake Matcha Flavor 90g,https://www.yamibuy.com/en/p/moranca-little-white-heart-sandwich-cake-matcha-flavor-90g/1016076991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Moranca,56,$3.99,,Sandwich Cake Matcha Flavor 90g,4.5,China
WuPaoChun Pineapple Cake 12pcs,https://www.yamibuy.com/en/p/wupaochun-pineapple-cake-12pcs/1016095471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WUPAOCHUN,3,,,WuPaoChun Pineapple Cake 12pcs,4.7,Taiwan
Longjin Mung Bean Cake150g,https://www.yamibuy.com/en/p/zhiweiguan-longjin-mung-bean-cake150g/1150000511,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,zhiweiguan,101,$6.99,2 Options,Longjin Mung Bean Cake150g,4.8,China
CNY rice Cake Red Bean 480g,https://www.yamibuy.com/en/p/cny-rice-cake-red-bean-480g/1016015141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEI HUA SIANG,11,$3.59,7 Options,CNY rice Cake Red Bean 480g,4.8,Taiwan
Longjing Green Tea Osmanthus Cake 190g,https://www.yamibuy.com/en/p/zhiweiguan-longjing-green-tea-osmanthus-cake-190g/1016067631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,zhiweiguan,72,$8.49,,Longjing Green Tea Osmanthus Cake 190g,4.7,China
Mini Bakes Milk Cake 9pc 225g,https://www.yamibuy.com/en/p/9/1016066321,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,149,,5 Options,Mini Bakes Milk Cake 9pc 225g,4.7,Japan
JoyJoy Golden Cake Gift Set 240g,https://www.yamibuy.com/en/p/joyjoy-golden-cake-gift-set-240g/1016095961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JoyJoy,3,$38.99,,JoyJoy Golden Cake Gift Set 240g,4.7,Taiwan
Dorayaki Baked Red Bean Cake 5pc,https://www.yamibuy.com/en/p/shirakiku-dorayaki-baked-red-bean-cake-5pc/1016010131,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHIRAKIKU,49,$3.99,3 Options,Dorayaki Baked Red Bean Cake 5pc,4.7,Japan
Pineapple Cake 16 Pieces 500g,https://www.yamibuy.com/en/p/pineapple-cake-16-pieces-500g/1016077281,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SunnyHills,2,$59.99,,Pineapple Cake 16 Pieces 500g,5,Taiwan
Mung Bean Cake Matcha Flavor 190g,https://www.yamibuy.com/en/p/zhiweiguan-mung-bean-cake-matcha-flavor-190g/1150000491,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,zhiweiguan,83,$7.79,4 Options,Mung Bean Cake Matcha Flavor 190g,4.7,China
Mung Bean Cake Original Flavor 190g,https://www.yamibuy.com/en/p/zhiweiguan-mung-bean-cake-original-flavor-190g/1150000461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,zhiweiguan,126,$7.79,4 Options,Mung Bean Cake Original Flavor 190g,4.7,China
Baked Red Bean Cake Green Tea 6packs 310g,https://www.yamibuy.com/en/p/marukyo-baked-red-bean-cake-green-tea-6packs-310g/1016010871,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANGJING,176,$6.99,4 Options,Baked Red Bean Cake Green Tea 6packs 310g,4.6,Japan
Macaron Cake Matcha Flavor 126g,https://www.yamibuy.com/en/p/macaron-cake-matcha-126g/1016094961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINSIBO,,$4.69,,Macaron Cake Matcha Flavor 126g,,China
Blueberry Cake 184g,https://www.yamibuy.com/en/p/royal-family-blueberry-cake-184g/1016005671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,19,,4 Options,Blueberry Cake 184g,4.3,Taiwan
【Frozen】Sweet-Scented Osmanthus Rice Cake,https://www.yamibuy.com/en/p/frozen-sweet-scented-osmanthus-rice-cake/1016095921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,QWYC,,$3.49,,【Frozen】Sweet-Scented Osmanthus Rice Cake,,China
Rice Cake Original 500g,https://www.yamibuy.com/en/p/rice-cake-original-500g/1016078091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUFU,5,$3.99,,Rice Cake Original 500g,5,China
Black Sesame Cake 170g,https://www.yamibuy.com/en/p/nice-choice-black-sesame-cake-170g/1016005071,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NICE CHOICE,31,$4.19,,Black Sesame Cake 170g,4.7,Taiwan
Pineapple Cake 184g,https://www.yamibuy.com/en/p/royal-family-pineapple-cake-184g/1016005701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,22,$2.79,4 Options,Pineapple Cake 184g,4.4,Taiwan
Rice Cake 400g,https://www.yamibuy.com/en/p/maruho-rice-cake-400g/1021017741,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUHO,124,$5.79,,Rice Cake 400g,4.8,Japan
Durian Cake 300g,https://www.yamibuy.com/en/p/maoshanwang-durian-cake-300g/1016057251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Maoshanwang,105,$3.99,,Durian Cake 300g,4.8,China
Mango Cake 300g,https://www.yamibuy.com/en/p/mango-moon-cake-300g/1016094981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAM SHENG KEE,1,$14.99,3 Options,Mango Cake 300g,5,Taiwan
"Rice Cake Original Flavor Low Sugar, 500g",https://www.yamibuy.com/en/p/rice-cake-low-brn-sugar-500g/1016078081,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUFU,9,$3.99,,"Rice Cake Original Flavor Low Sugar, 500g",4.4,China
Rice Cake Red Bean Flavor 500g,https://www.yamibuy.com/en/p/rice-cake-red-bean-500g/1016078101,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUFU,7,$3.99,,Rice Cake Red Bean Flavor 500g,4.7,China
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Rice Cake Original Flavor Low Sugar, 500g",https://www.yamibuy.com/en/p/rice-cake-low-brn-sugar-500g/1016078081,https://cdn.yamibuy.net/item/01e8966b6b845e6a31463ba65622fdea_684x684.webp,LIUFU,9,$3.99,,"Rice Cake Original Flavor Low Sugar, 500g",4.4,China
Green Bean Mochi Cake 300g,https://www.yamibuy.com/en/p/royal-family-green-bean-mochi-cake-300g/1016006101,https://cdn.yamibuy.net/item/0bfc69e6cbaaa1139a71bcb512381c1b_684x684.webp,ROYAL FAMILY,165,$6.29,,Green Bean Mochi Cake 300g,4.5,Taiwan
Sugar Free Pineapple Cake 276g,https://www.yamibuy.com/en/p/royal-family-sugar-free-pineapple-cake-276g/1016004651,https://cdn.yamibuy.net/item/001ae7ac0563529753cc5442665da80d_684x684.webp,ROYAL FAMILY,122,$6.99,,Sugar Free Pineapple Cake 276g,4.6,Taiwan
Original Rice Cake Cookie 12pc 258g,https://www.yamibuy.com/en/p/cw-original-rice-cake-cookie-14pc-301g/1016007131,https://cdn.yamibuy.net/item/600ce92ef7e047c276f226732b5af005_684x684.webp,CW,140,$5.29,,Original Rice Cake Cookie 12pc 258g,4.3,Korea
Happiness Cake Gift Box 880g,https://www.yamibuy.com/en/p/happiness-cake-gift-880g/1016079831,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,4,$28.99,,Happiness Cake Gift Box 880g,5,China
Custard Soft Cup Cake Cream and Egg Yolk Pie 12Packs  276g,https://www.yamibuy.com/en/p/orion-custard-soft-cup-cake-cream-and-egg-yolk-filling-12packs/1016009551,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ORION,224,$4.89,,Custard Soft Cup Cake Cream and Egg Yolk Pie 12Packs  276g,4.7,Korea
DXC Mung Bean Cake 360g,https://www.yamibuy.com/en/p/daoxiangcun-mung-bean-cake-360g/1016037641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,49,,2 Options,DXC Mung Bean Cake 360g,4.6,China
Ball Cake Original 60g,https://www.yamibuy.com/en/p/want-want-hot-kid-ball-cake-original-60g/1016059021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,58,$1.99,,Ball Cake Original 60g,4.9,Taiwan
Custard Cream Cake 500g,https://www.yamibuy.com/en/p/custard-cream-soft-cake-500g/1016081951,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DALIGROUP,13,$5.99,2 Options,Custard Cream Cake 500g,4.5,China
Mini Baked Matcha Cake 200g,https://www.yamibuy.com/en/p/8/1016066331,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MARUKIN,122,,5 Options,Mini Baked Matcha Cake 200g,4.6,Japan
Pineapple Cake 500g,https://www.yamibuy.com/en/p/sunnyhills-pineapple-cake-500g/1016072671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SunnyHills,11,$39.99,3 Options,Pineapple Cake 500g,5,Taiwan
TECHANG FOOD Tofu Cake Black Peeper Flavor 115g,https://www.yamibuy.com/en/p/techang-food-tofu-cake-black-peeper-flavor-115g/1019006221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TE CHANG FOOD,38,$1.69,,TECHANG FOOD Tofu Cake Black Peeper Flavor 115g,4.2,Taiwan
Macaron Cake Original,https://www.yamibuy.com/en/p/macaron-cake-original/1016088531,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JINYU,1,$3.49,,Macaron Cake Original,5,China
Walnut Rice Cake 198g,https://www.yamibuy.com/en/p/walnut-white-square-rice-cake-198g/1016077741,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Shendacheng,2,$11.90,,Walnut Rice Cake 198g,5,China
Hong Kong Style Flavored Sadish Cake Powder 500g,https://www.yamibuy.com/en/p/jaguar-hong-kong-style-flavored-sadish-cake-powder-500g/1021018571,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JAGUAR,4,$6.09,,Hong Kong Style Flavored Sadish Cake Powder 500g,5,Taiwan
Hot Kid Ball Cake Original 320g,https://www.yamibuy.com/en/p/hot-kid-ball-cake-original-320g/1016081301,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANT WANT,9,$5.49,,Hot Kid Ball Cake Original 320g,4.9,Taiwan
New York Cheese Cake 170g,https://www.yamibuy.com/en/p/crown-new-york-cheese-cake-170g/1016021161,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CROWN,33,$4.99,,New York Cheese Cake 170g,4,Korea
Chestnut Rice Cake Cookie 12pc 258g,https://www.yamibuy.com/en/p/cw-chestnut-rice-cake-cookie-12pc-301g/1016026831,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CW,30,$5.29,,Chestnut Rice Cake Cookie 12pc 258g,3.9,Korea
Waffle Cake Yogurt Flavor 270g,https://www.yamibuy.com/en/p/haoyoulikids-waffle-cake-270g/1016064651,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAOYOULIKids,9,$4.99,,Waffle Cake Yogurt Flavor 270g,4.7,China
DXC Soft Flour Cake Original Flavor 454g,https://www.yamibuy.com/en/p/dxc-soft-flour-cake-original-flavor/1016056711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,56,$7.49,3 Options,DXC Soft Flour Cake Original Flavor 454g,4.4,China
Bakerking Cake Powder Mix 1kg,https://www.yamibuy.com/en/p/kaluo-bakerking-cake-powder-mix-1kg/1149007091,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUO,,,,Bakerking Cake Powder Mix 1kg,,China
Cake  Matcha and Soy Milk Flavor  80g,https://www.yamibuy.com/en/p/steamed-cake-matcha-and-soy-milk-flavor-80g/1016084171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Xiu XIan Nong Chang,19,,5 Options,Cake  Matcha and Soy Milk Flavor  80g,4.6,China
Malaysia Asteros Roll Heart Cake Tiramisu Flavor 40g,https://www.yamibuy.com/en/p/malaysia-o-mac-asteros-roll-heart-cake-tiramisu-flavor-40g/1016056011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,O-mac,28,$0.99,3 Options,Malaysia Asteros Roll Heart Cake Tiramisu Flavor 40g,4.4,Malaysia
Korean Rice Cake Apple Flavored Cookie Pie 12pcs 234g,https://www.yamibuy.com/en/p/cw-korean-rice-cake-apple-flavored-cookie-pie-14pcs-273g/1016026481,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CW,27,$5.29,,Korean Rice Cake Apple Flavored Cookie Pie 12pcs 234g,4.6,Korea
Pea Cake 200g,https://www.yamibuy.com/en/p/pea-cake-200g/1016080781,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GONYUFANG,5,$5.99,,Pea Cake 200g,5,China
TECHANG FOOD Tofu Cake Artificial Beef Flavor 115g,https://www.yamibuy.com/en/p/techang-food-tofu-cake-artificial-beef-flavor-115g/1019006181,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TE CHANG FOOD,16,$1.69,,TECHANG FOOD Tofu Cake Artificial Beef Flavor 115g,3.9,Taiwan
Ohyes Premium Chocolate Coated Cake With Chocolate Filling 6Pcs,https://www.yamibuy.com/en/p/haitai-ohyes-premium-chocolate-coated-cake-with-chocolate-filling-6pcs/1016010241,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAITAI,27,$1.89,,Ohyes Premium Chocolate Coated Cake With Chocolate Filling 6Pcs,4.4,Korea
Warm Heart Cake 28g,https://www.yamibuy.com/en/p/moranca-warm-heart-anhydrous-cake-about-28g/1016061761,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Moranca,15,$1.49,7 Options,Warm Heart Cake 28g,4.3,China
Egg Flavor Soft Flour Cake 227g,https://www.yamibuy.com/en/p/nice-choice-egg-flavor-soft-flour-cake-227g/1016004561,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NICE CHOICE,25,$1.99,,Egg Flavor Soft Flour Cake 227g,3.5,Taiwan
Dracula Yogurt Flavor Cake Cranberry Filling 135g,https://www.yamibuy.com/en/p/dracula-yogurt-flavor-cake-cranberry-filling-135g/1016071631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dracula,18,$3.59,,Dracula Yogurt Flavor Cake Cranberry Filling 135g,4.9,China
Baked Soft Cake - Chestnut 198g,https://www.yamibuy.com/en/p/kubota-baked-soft-cake-chestnut-224g/1016032611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,20,$4.29,8 Options,Baked Soft Cake - Chestnut 198g,3.9,Japan
YANG HANG Fermented Bean Curd Cake 240g,https://www.yamibuy.com/en/p/yang-hang-fermented-bean-curd-cake-240g/1016026291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YANGHANG,8,$3.99,,YANG HANG Fermented Bean Curd Cake 240g,3.8,China
Mochi - Sesame & Wheat Cake (Kuro Goma Kinako) 139g,https://www.yamibuy.com/en/p/kubota-mochi-sesame-wheat-cake-kuro-goma-kinako-139g/1016059291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUBOTA,8,$3.59,,Mochi - Sesame & Wheat Cake (Kuro Goma Kinako) 139g,4.1,Japan
Cake Purple Sweet Potato and Pumpkin Flavor  80g,https://www.yamibuy.com/en/p/steamed-cake-purple-sweet-potato-pumpkin-flavor-80g/1016084221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Xiu XIan Nong Chang,13,,5 Options,Cake Purple Sweet Potato and Pumpkin Flavor  80g,4.8,China
DAXI Garlic Flavor Tofu Cake 150g,https://www.yamibuy.com/en/p/daxi-garlic-flavor-tofu-cake-150g/1019003881,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUXIANG,13,$1.49,5 Options,DAXI Garlic Flavor Tofu Cake 150g,3.8,Taiwan
TECHANG FOOD Tofu Cake Spiced Flavor 110g,https://www.yamibuy.com/en/p/techang-food-tofu-cake-spiced-flavor-110g/1019006271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TE CHANG FOOD,12,$1.79,,TECHANG FOOD Tofu Cake Spiced Flavor 110g,4.7,Taiwan
Beijing Wheat Flour Cake 200g,https://www.yamibuy.com/en/p/beijing-wheat-flour-cake-200g/1016080771,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GONYUFANG,5,$5.99,,Beijing Wheat Flour Cake 200g,4,China
Bubble Milk Tea Pineapple Cake 270g,https://www.yamibuy.com/en/p/xiaoshandenglu-bubble-milk-tea-pineapplei-cake-270g/1016060331,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOSHANDENGLU,16,$5.99,,Bubble Milk Tea Pineapple Cake 270g,4.9,Taiwan
Almond Cake 226g,https://www.yamibuy.com/en/p/almond-cake-226g/1016062571,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FRAGANCE,8,$3.99,,Almond Cake 226g,4.9,Hong Kong
Mo Song Yun Cake 400g,https://www.yamibuy.com/en/p/mo-song-yun-cake-400g/1016080551,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SNACK LAB,6,,,Mo Song Yun Cake 400g,5,China
Baked Red Bean Cake Strawberry Flavor 6packs 310g,https://www.yamibuy.com/en/p/marukyo-baked-red-bean-cake-strawberry-flavor-6-packs-310g/1016010851,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WANGJING,11,,4 Options,Baked Red Bean Cake Strawberry Flavor 6packs 310g,4.5,Japan
Dracula Yogurt Flavor Cake Raisin Filling 135g,https://www.yamibuy.com/en/p/dracula-yogurt-flavor-cake-raisin-filling-135g/1016071651,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dracula,11,$3.59,,Dracula Yogurt Flavor Cake Raisin Filling 135g,4,China
Pineapple cake 200g,https://www.yamibuy.com/en/p/smile-sun-pineapple-cake-200g/1016060921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SMILE SUN,13,$2.99,3 Options,Pineapple cake 200g,4.3,Taiwan
Black Sugar Cake 300g,https://www.yamibuy.com/en/p/royal-family-black-sugar-cake-300g/1016060681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,10,$5.59,,Black Sugar Cake 300g,4.2,Taiwan
【Frozen】Shell Shaped Cake Date Flavor 420g,https://www.yamibuy.com/en/p/shell-shaped-cake-frozen-420g/1146139191,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,2,,,【Frozen】Shell Shaped Cake Date Flavor 420g,5,China
Baked Cake Swiss Roll 12pc,https://www.yamibuy.com/en/p/daisho-baked-cake-swiss-roll-12pc/1016009981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DAISHO,9,$6.99,,Baked Cake Swiss Roll 12pc,3.6,Japan
PANPAN Swiss Roll Strawberry Flavor Roll Cake 200g,https://www.yamibuy.com/en/p/panpan-swiss-roll-strawberry-flavor-roll-cake-200g/1016017011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASIA FOODS,2,$2.59,,PANPAN Swiss Roll Strawberry Flavor Roll Cake 200g,4.5,China
Russia Cake 15pcs,https://www.yamibuy.com/en/p/nakayama-russia-cake-15pcs/1016046621,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NAKAYAMA,6,$18.99,4 Options,Russia Cake 15pcs,4.3,Japan
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Muffin Cake Mile And Cereals Flavor 192g,https://www.yamibuy.com/en/p/master-kong-muffin-cake-mile-and-cereals-flavor-192g/1016065701,https://cdn.yamibuy.net/item/c7d56d34255d5a5bf40ac8e207f23005_684x684.webp,MASTER KONG,5,,5 Options,Muffin Cake Mile And Cereals Flavor 192g,4.6,China
Gateau Chocolate Cake 179g,https://www.yamibuy.com/en/p/morinaga-gateau-chocola-rich-miruku-179g/1016075661,https://cdn.yamibuy.net/item/dd8bf05a1623761143f06a68e4fd05dc_684x684.webp,MORINAGA,2,$4.69,,Gateau Chocolate Cake 179g,5,Japan
Seasonal French Rice Cake Gift Box,https://www.yamibuy.com/en/p/item/1016067131,https://cdn.yamibuy.net/item/8661d6ac94e8ff1ae1383df100f906a3_684x684.webp,FUKUOKA,2,$9.99,,Seasonal French Rice Cake Gift Box,5,Japan
Matcha Layer Cake 12pc 288g,https://www.yamibuy.com/en/p/bailefen-matcha-layer-cake-288g/1016065821,https://cdn.yamibuy.net/item/310d45ac3551bf151d017b2f2722f05f_684x684.webp,BAILEFEN,11,$12.99,3 Options,Matcha Layer Cake 12pc 288g,3.4,China
"Moonlight Cream Filling Soft Cake, 6pcs",https://www.yamibuy.com/en/p/moonlight-cream-filling-soft-cake-6pcs/1016077631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MORINAGA,3,$5.49,,"Moonlight Cream Filling Soft Cake, 6pcs",4.7,Japan
Daliyuan Sha Si Ding Cake Lemon Flavor) 240g,https://www.yamibuy.com/en/p/daliyuan-sha-si-ding-cake-lemon-flavoer/1016089611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DALIGROUP,,$4.69,,Daliyuan Sha Si Ding Cake Lemon Flavor) 240g,,China
Matcha Rice Cake 180g,https://www.yamibuy.com/en/p/item/1016066951,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MAEDA CONFECTIONERY,3,,,Matcha Rice Cake 180g,4.7,Japan
