Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,Headline,Field1,Field2
Taiwanese Black Date And  Walnut Cake 350g,https://www.yamibuy.com/en/p/cherry-grandfather-taiwanese-black-date-and-walnut-cake-350g/1016031471?scene=item_search.result&bu_type=search&module_name=input&index=30&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CHERRY GRANDFATHER,48,$25.99,,Taiwanese Black Date And  Walnut Cake 350g,4.9,Taiwan
Rice Cake Topokki Original Spicy 142g,https://www.yamibuy.com/en/p/cup-rice-cake-original-142g/1017037911?scene=item_search.result&bu_type=search&module_name=input&index=31&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WELLHEIM,8,$2.99,,Rice Cake Topokki Original Spicy 142g,4,Korea
Castella Japanese Style Baked Sponge Cake Original Flavor 7 Slices 280g,https://www.yamibuy.com/en/p/imuraya-castilla-japanese-style-baked-sponge-cake-original-flavor-7-slices-280g/1016009261?scene=item_search.result&bu_type=search&module_name=input&index=32&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMURAYA,99,$6.99,4 Options,Castella Japanese Style Baked Sponge Cake Original Flavor 7 Slices 280g,4.3,Japan
TK FOOD Taiwan Pineapple Cake 180g,https://www.yamibuy.com/en/p/tk-food-taiwan-pineapple-cake-180g/1016004551?scene=item_search.result&bu_type=search&module_name=input&index=33&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,144,$3.49,,TK FOOD Taiwan Pineapple Cake 180g,4.4,Taiwan
Pineapple Cake Mango Flavor 190g,https://www.yamibuy.com/en/p/hsufuchi-mango-flavor-pineapple-sandwich-cookie-190g/1016013811?scene=item_search.result&bu_type=search&module_name=input&index=34&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HSUFUCHI,206,$4.59,4 Options,Pineapple Cake Mango Flavor 190g,4.7,Taiwan
Royal Family Bubble Milk Tea Cake 600g,https://www.yamibuy.com/en/p/royal-family-bubble-milk-tea-cake-600g/1016097231?scene=item_search.result&bu_type=search&module_name=input&index=35&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL FAMILY,,$16.99,,Royal Family Bubble Milk Tea Cake 600g,,Taiwan
Milk Cake 195g,https://www.yamibuy.com/en/p/huamei-stewed-milk-cake-195g-box/1016075841?scene=item_search.result&bu_type=search&module_name=input&index=36&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMEI,22,$3.99,,Milk Cake 195g,5,China
Custard Lava Cake 2pc 100g,https://www.yamibuy.com/en/p/zhiweiguan-two-custard-flowing-heart-cakes/1150001681?scene=item_search.result&bu_type=search&module_name=input&index=37&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,zhiweiguan,98,$8.19,,Custard Lava Cake 2pc 100g,4.6,China
Topokki Rice Cake Hot & Spicy 240g,https://www.yamibuy.com/en/p/yopokki-topokki-bag-hot-spicy-240g/1147004681?scene=item_search.result&bu_type=search&module_name=input&index=38&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YOPOKKI,15,,,Topokki Rice Cake Hot & Spicy 240g,4.7,Korea
"chính hiệu  ""Minh Ngoc"" Green Bean Cake         8.4 oz.",https://www.yamibuy.com/en/p/minh-ngoc-green-bean-cake-8-4-oz/1016097681?scene=item_search.result&bu_type=search&module_name=input&index=39&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Minh Ngoc,,$4.49,,"chính hiệu  ""Minh Ngoc"" Green Bean Cake         8.4 oz.",,Vietnam
Baolaifa Brown Sugar Rice Cake -Original 550g,https://www.yamibuy.com/en/p/baolaifa-brown-sugar-rice-cake-original-550g/1150004071?scene=item_search.result&bu_type=search&module_name=input&index=40&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,宝来发,3,$21.99,,Baolaifa Brown Sugar Rice Cake -Original 550g,5,Taiwan
Cashew Crisp Cake 650g,https://www.yamibuy.com/en/p/dxc-cashew-crisp-cake-650/1016097281?scene=item_search.result&bu_type=search&module_name=input&index=41&content=cake,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Dao Xiang Cun,2,$19.99,,Cashew Crisp Cake 650g,5,China
