Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
VITA Apple & Jasmine Tea 250ml,https://www.yamibuy.com/en/p/vita-apple-jasmine-tea-250ml/1020004821,VITASOY,261,$0.79,2 Options,,,261,Apple & Jasmine,Hong Kong,4.6
Kaman Orange Soda Sparkling Water Canned 330ml*6 Cans,https://www.yamibuy.com/en/p/genki-forest-kaman-orange-soda-sparkling-water-canned-330ml-6-cans/1020039131,Genki Forest,14,$7.99,2 Options,,,14,Kaman Orange Flavor,China,4.9
Sparkling Water Honey Pomelo Flavor 450ml,https://www.yamibuy.com/en/p/sparkling-water-honey-pomelo-flavor-450ml/1020057171,Bubly,60,,,$1.99,$2.39,60,,China,4.7
White-gourd Drink 310ml,https://www.yamibuy.com/en/p/taisun-white-gourd-drink-310ml/1020006891,TAISUN,28,$0.99,,,,28,Taiwan,Taiwan,4.6
CICI Fruit Flavored Drink Grape 258ml,https://www.yamibuy.com/en/p/cici-fruit-flavored-drink-grape-258ml/1020005081,STRONGFOOD,47,$1.19,4 Options,,,47,China,China,4.6
Soft Drink Natchan Apple 425ml,https://www.yamibuy.com/en/p/suntory-soft-drink-natchan-apple-425ml/1020019661,SUNTORY,5,$2.29,2 Options,,,5,,Japan,4.8
Baked Oolong Milk Tea 280ml,https://www.yamibuy.com/en/p/baked-oolong-milk-tea-280ml/1020059101,XIANGPIAOPIAO,17,$3.29,,,,17,,China,4.5
Tangerine Flavored Soda 248ml,https://www.yamibuy.com/en/p/arctic-ocean-orange-flavored-soda-248ml/1020015461,ARCTIC OCEAN,295,,3 Options,$1.99,$2.49,295,China,China,4.8
Welch's Muscat Sparkling 430ml,https://www.yamibuy.com/en/p/welch-s-muscat-sparkling-430ml/1020061681,ASAHI,3,$2.29,,,,3,,Japan,5
Calpis Grape Flavor 500ml,https://www.yamibuy.com/en/p/budou-calpis-500ml/1020061691,ASAHI,4,$2.49,,,,4,,Japan,4.8
Soft Drink Natchan Grape 425ml,https://www.yamibuy.com/en/p/suntory-soft-drink-natchan-grape-425ml/1020019561,SUNTORY,3,$2.29,,,,3,,Japan,5
Oolong Tea 525ml,https://www.yamibuy.com/en/p/suntory-oolong-tea-525ml/1020005881,SUNTORY,6,$2.99,5 Options,,,6,Japan,Japan,5
Sugar-free 0 Calories 0 Fat Pure Tea Oolong Tea,https://www.yamibuy.com/en/p/sugar-free-0-calories-0-fat-pure-tea-oolong-tea/1020059851,Kelly One,6,$2.09,,,,6,,China,5
Osmanthus Plum Drink 300ml,https://www.yamibuy.com/en/p/jiu-long-zhai-osmanthus-plum-drink-300ml/1020015861,JIU LONG ZHAI,33,$2.29,2 Options,,,33,China,China,4.4
Mango Flavored Drink With Nata De COCO 320ml,https://www.yamibuy.com/en/p/mogu-mogu-mango-flavored-drink-with-nata-de-coco-320ml/1020006061,MOGU MOGU,25,$1.49,14 Options,,,25,Thailand,Thailand,4.6
Lemonade Elderflower & Rose 100% Organic 250ml,https://www.yamibuy.com/en/p/lemonade-elderflower-rose-100-organic-238g/1020059291,BELVOIR FRUIT FARMS,6,,,$3.59,$3.89,6,,United States,4.7
