Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
WanHe Sesame Paste Soup Base Rice Noodle 220g,https://www.yamibuy.com/en/p/wanhe-sesame-paste-soup-base-rice-noodle-220g/1021085021?scene=item_search.result&bu_type=search&module_name=input&index=26&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WanHe,94,,$3.69,$3.99,8% OFF,WanHe Sesame Paste Soup Base Rice Noodle 220g,94,,China,4.7
Demae Ramen Noodle with Soup Base Tonkotsu Pork Flavor 500g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-soup-base-tonkotsu-pork-flavor-500g/1021039291?scene=item_search.result&bu_type=search&module_name=input&index=27&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,121,$3.89,,,,Demae Ramen Noodle with Soup Base Tonkotsu Pork Flavor 500g,123,Hong Kong,Japan,4.8
Savory Bowl Noodle Soup Beef Flavor 86g,https://www.yamibuy.com/en/p/nongshim-savory-bowl-noodle-soup-beef-flavor/1021000611?scene=item_search.result&bu_type=search&module_name=input&index=28&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,7,,$1.59,$1.99,21% OFF,Savory Bowl Noodle Soup Beef Flavor 86g,7,,Korea,3.7
Cup Noodles Instant Noodle Crab Flavor 69g,https://www.yamibuy.com/en/p/nissin-cup-noodles-instant-noodle-crab-flavor-75g/1021002131?scene=item_search.result&bu_type=search&module_name=input&index=29&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,99,$1.89,,,,Cup Noodles Instant Noodle Crab Flavor 69g,99,Japan,Japan,4.4
Soto Noodle Cup 81g,https://www.yamibuy.com/en/p/sedaap-soto-noodle-cup-81g/1021039631?scene=item_search.result&bu_type=search&module_name=input&index=30&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SEDAAP,,$1.59,,,,Soto Noodle Cup 81g,Be the first!,Indonesia,Indonesia,
Soto Noodle 365g,https://www.yamibuy.com/en/p/sedaap-soto-noodle-365g/1021039661?scene=item_search.result&bu_type=search&module_name=input&index=31&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SEDAAP,4,$2.99,,,,Soto Noodle 365g,4,Indonesia,Indonesia,4.5
Spicy Noodle Soup (Cup)  65g,https://www.yamibuy.com/en/p/spicy-noodle-soup-cup-65g/1021088401?scene=item_search.result&bu_type=search&module_name=input&index=32&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A-SHA,2,$2.29,,,,Spicy Noodle Soup (Cup)  65g,2,,Taiwan,5
Meatball Noodle 77g,https://www.yamibuy.com/en/p/sedaap-meatball-noodle-77g/1021039681?scene=item_search.result&bu_type=search&module_name=input&index=33&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SEDAAP,3,$0.69,,,,Meatball Noodle 77g,Be the first!,Indonesia,Indonesia,2.7
Cup Noodle Bowl Noodle Black Pepper Flavor 74g,https://www.yamibuy.com/en/p/nissin-cup-noodle-bowl-noodle-black-peeper-flavor-74g/1021006331?scene=item_search.result&bu_type=search&module_name=input&index=34&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,202,$1.89,,,,Cup Noodle Bowl Noodle Black Pepper Flavor 74g,202,Japan,Japan,4.6
"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",https://www.yamibuy.com/en/p/xinjiang-rice-noodle-with-chili-sauce-hot-spicy-250g/1021073711?scene=item_search.result&bu_type=search&module_name=input&index=35&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,QIANFENXISHI,,$4.59,,,,"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",293,"Chili, vegetable oil, bean paste, soybean, sweet pasta sauce, salt, sugar, pepper, spice etc.",China,4.7
Jin Tang Sweet Potato Noodle 126g,https://www.yamibuy.com/en/p/xiaolongkan-jin-tang-sweet-potato-noodle-126g/1021076391?scene=item_search.result&bu_type=search&module_name=input&index=36&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOLONGKAN,,$3.49,,,,Jin Tang Sweet Potato Noodle 126g,119,,China,4.7
Hot and Sour Sweet Potato Noodle 102g,https://www.yamibuy.com/en/p/xiaolongkan-hot-and-sour-sweet-potato-noodle-102g/1021076381?scene=item_search.result&bu_type=search&module_name=input&index=37&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOLONGKAN,,$3.49,,,,Hot and Sour Sweet Potato Noodle 102g,55,,China,4.8
Extra Spicy Soup Rice Noodle 220g,https://www.yamibuy.com/en/p/extra-spicy-soup-rice-noodle-220g/1021087271?scene=item_search.result&bu_type=search&module_name=input&index=38&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WanHe,5,$3.99,,,,Extra Spicy Soup Rice Noodle 220g,5,,China,4
Demae Ramen Noodle with Soup Base Miso Tonkotsu Pork Flavor 100g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-soup-base-miso-tonkotsu-pork-flavor-100g/1021002241?scene=item_search.result&bu_type=search&module_name=input&index=39&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,90,,$0.79,$1.29,39% OFF,Demae Ramen Noodle with Soup Base Miso Tonkotsu Pork Flavor 100g,92,Japan,Japan,4.4
Chicken Noodle Soup (Cup) 65g,https://www.yamibuy.com/en/p/chicken-noodle-soup-cup-65g/1021088391?scene=item_search.result&bu_type=search&module_name=input&index=40&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,A-SHA,3,$2.29,,,,Chicken Noodle Soup (Cup) 65g,3,,Taiwan,5
Mini Instant Noodle Chicken Flavor 4pc,https://www.yamibuy.com/en/p/tokyo-noodle-mini-instant-noodle-chicken-flavor-4pc/1021004351?scene=item_search.result&bu_type=search&module_name=input&index=41&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOKYO NOODLE,18,$1.59,,,,Mini Instant Noodle Chicken Flavor 4pc,18,Japan,Japan,3.7
Instant Tonkatsu Noodle 83g,https://www.yamibuy.com/en/p/sapporo-ichiban-instant-tonkotsu-noodle-83g/1021069661?scene=item_search.result&bu_type=search&module_name=input&index=42&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SAPPORO ICHIBAN,,$1.99,,,,Instant Tonkatsu Noodle 83g,45,,Japan,4.8
Mini Instant Noodle Spicy Flavor 4pc,https://www.yamibuy.com/en/p/tokyo-noodle-mini-instant-noodle-spicy-flavor-4pc/1021004361?scene=item_search.result&bu_type=search&module_name=input&index=43&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOKYO NOODLE,16,$1.59,,,,Mini Instant Noodle Spicy Flavor 4pc,16,,Japan,4.4
Kimchi Instant Noodle Soup 4packs 480g,https://www.yamibuy.com/en/p/nongshim-kimchi-instant-noodle-soup-4packs-480g/1021001801?scene=item_search.result&bu_type=search&module_name=input&index=44&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,72,,$5.99,$6.49,8% OFF,Kimchi Instant Noodle Soup 4packs 480g,74,Korea,Korea,4.6
Sour&Spicy Hot Pot Noodle 310g,https://www.yamibuy.com/en/p/sour-spicy-hot-pot-noodle-310g/1021086161?scene=item_search.result&bu_type=search&module_name=input&index=45&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAOLONGKAN,3,$4.99,,,,Sour&Spicy Hot Pot Noodle 310g,3,,China,5
Soon Veggie Noodle Soup 75g,https://www.yamibuy.com/en/p/soon-ramen-cup-nongshim/1021087021?scene=item_search.result&bu_type=search&module_name=input&index=46&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGSHIM,,$1.29,,,,Soon Veggie Noodle Soup 75g,Be the first!,,Korea,
Demae Ramen Noodle with Soup Base Sesame Oil Flavor 5 packs 500g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-soup-base-sesame-oil-flavor-5-packs-500g/1021041021?scene=item_search.result&bu_type=search&module_name=input&index=47&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,73,$3.89,,,,Demae Ramen Noodle with Soup Base Sesame Oil Flavor 5 packs 500g,73,Hong Kong,Japan,4.8
