Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
Raisin Sandwich Cookie Matcha Flavor 8pc,https://www.yamibuy.com/en/p/harvest-fruit-sandwich-matcha-raisins-8-pieces/1016081931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOHATO,3,$4.29,,,,,Raisin Sandwich Cookie Matcha Flavor 8pc,5,Japan,TOHATO,3
Levain Wasabi Kaoru Parmesan 50g,https://www.yamibuy.com/en/p/levain-wasabi-kaoru-parmesan-50g/1016088861,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YBC,5,,,$2.69,$2.99,11% OFF,Levain Wasabi Kaoru Parmesan 50g,4.6,Japan,YBC,5
Small Cod Caviar Round Cake 22g,https://www.yamibuy.com/en/p/small-cod-caviar-round-cake-22g/1016094391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,2,,,$1.89,$2.29,18% OFF,Small Cod Caviar Round Cake 22g,2.5,Japan,BOURBON,2
ANPANMAN Biscuit 72g,https://www.yamibuy.com/en/p/fujiya-anpanman-biscuit-72g/1016015721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FUJIYA,9,$2.99,,,,,ANPANMAN Biscuit 72g,5,0.24g,FUJIYA,9
Dear Mapple Cheese Cake Gallette Sandwichs,https://www.yamibuy.com/en/p/dear-mapple-cheese-cake-gallette-sandwichs/1016087471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MORINAGA,4,$4.39,,,,,Dear Mapple Cheese Cake Gallette Sandwichs,4.8,Japan,MORINAGA,4
Prezel Chocola Strawberry 46g,https://www.yamibuy.com/en/p/prezel-chocola-strawberry-46g/1016087501,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,4,,,$2.49,$2.89,14% OFF,Prezel Chocola Strawberry 46g,5,Japan,BOURBON,4
Little Cookie Milk Salt Flavor 100g,https://www.yamibuy.com/en/p/little-cookie-milk-salt-flavor-100g/1016089141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,yifen,1,$1.69,,,,,Little Cookie Milk Salt Flavor 100g,5,China,yifen,1
Coconut Matcha Cookies 128g,https://www.yamibuy.com/en/p/nissin-coconut-matcha-cookies-128g/1016032081,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,3,$2.39,,,,,Coconut Matcha Cookies 128g,4.3,Japan,NISSIN,3
Leafy Lemon 84g,https://www.yamibuy.com/en/p/leafy-lemon-84g/1016088841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MORINAGA,1,$3.29,,,,,Leafy Lemon 84g,5,Japan,MORINAGA,1
Cheese Biscuits 85g,https://www.yamibuy.com/en/p/cheese-okaki-85g/1016083901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,4,$4.99,,,,,Cheese Biscuits 85g,4.2,Japan,BOURBON,4
