Title,Title_link,Thumbnail,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3,Field4
WALKER Pure Butter Cookies 125g,https://www.yamibuy.com/en/p/walker-pure-butter-cookies-125g/1016013211,https://cdn.yamibuy.net/item/74274eb9d348eadc0a4c1fac12a04a75_684x684.webp,WALKERS,$5.49,6,WALKER Pure Butter Cookies 125g,,Scotland,Scotland,WALKERS
TK FOOD Black Peeper Salty Yolk Cookies 230g,https://www.yamibuy.com/en/p/tk-food-black-peeper-salty-yolk-cookies-230g/1016030011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$6.29,22,TK FOOD Black Peeper Salty Yolk Cookies 230g,,Taiwan,Taiwan,TKFOOD
Danish Butter Cookies 340g,https://www.yamibuy.com/en/p/royal-dansk-danish-butter-cookies-340g/1016000691,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL DANSK,$6.89,17,Danish Butter Cookies 340g,,Denmark,"Butter, wheat flour, white sugar.",ROYAL DANSK
BUTTER COOKIES 90g,https://www.yamibuy.com/en/p/bourbon-butter-cookies/1016062191,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,$2.49,23,BUTTER COOKIES 90g,,Japan,,BOURBON
Sand Cookies Black Cheese Flavor 108g,https://www.yamibuy.com/en/p/cookies-crisp-black-grain-108g/1016094171,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Koobi,$3.49,2,Sand Cookies Black Cheese Flavor 108g,,China,,Koobi
Sand Cookies Brown Sugar Flavor 98g,https://www.yamibuy.com/en/p/cookies-malt-brown-sugar-flavor-98g/1016094191,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Koobi,,2,Sand Cookies Brown Sugar Flavor 98g,,China,,Koobi
TK FOOD Black Sesame Cookies 100g,https://www.yamibuy.com/en/p/tk-food-black-sesame-cookies-100g/1016003921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$3.49,19,TK FOOD Black Sesame Cookies 100g,,Taiwan,Taiwan,TKFOOD
"Cookies, Imported With Belgian Chocolate 154g",https://www.yamibuy.com/en/p/cookies-imported-with-belgian-chocolate-153g/1016090001,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BISCOFF,$4.39,1,"Cookies, Imported With Belgian Chocolate 154g",,United States,,BISCOFF
KOBAYASHI Lins Hand Made Cookies 300g,https://www.yamibuy.com/en/p/kobayashi-lins-hand-made-cookies-300g/3016026891,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOBAYASHI Cookies,,15,KOBAYASHI Lins Hand Made Cookies 300g,,Taiwan,Taiwan,KOBAYASHI Cookies
KOBAYASHI Shortbread Cookies 260g 4pcs,https://www.yamibuy.com/en/p/kobayashi-shortbread-cookies-260g-4pcs/3016028491,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KOBAYASHI Cookies,,20,KOBAYASHI Shortbread Cookies 260g 4pcs,,Taiwan,Taiwan,KOBAYASHI Cookies
Pistachio Chocolate Rose Cookies 6pc,https://www.yamibuy.com/en/p/pistachio-chocolate-rose-cookies-6pc/3016097201,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TULIP ROSE,,,Pistachio Chocolate Rose Cookies 6pc,,Japan,Japan,TULIP ROSE
