Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category
Brown Sugar With Mixed Congee 340g,TAISUN,343,1.39,4.7,Taiwan,Yami,Dessert
Mixed Black Glutinous Rice Congee 255g,TAISUN,293,1.29,4.7,Taiwan,Yami,Dessert
Milk Peanut Soup 340g,AGV,83,1.49,4.4,Taiwan,Yami,Dessert
FU CHUN JIANG Rice Pudding 350g,FUCHUNJIANG,38,2.29,4.7,Mainland China,Yami,Dessert
Canned In Syrup(Haw)  680g,QIANBAIWEI,35,2.99,4.8,Mainland China,Yami,Dessert
Deluxe Grass Jelly Dessert 330g,AGV,292,1.59,4.5,Taiwan,Yami,Dessert
Red Bean and Purple Rice Porridge 35gx3,Zen Eat,0,10.99,0,Taiwan,Yami,Dessert
Red Bean & Coix Meal 600g (New Formula New Packaging),WUGU MOFANG,142,18.99,4.8,Mainland China,Yami,Dessert
Instant Cereal Mixed Congee 380g,AGV,35,1.69,4.6,Taiwan,Yami,Dessert
Sesame Oil and Ginger Porridge 35gx3,Zen Eat,0,10.99,0,Taiwan,Yami,Dessert
Eight Treasures Rice Cake 480g,MEI HUA SIANG,7,3.59,4.6,Taiwan,Yami,Dessert
Instant Cereal Mixed Congee 380g,AGV,35,1.69,4.6,Taiwan,Yami,Dessert
Black Sesame Walnut Powder 360g,LIZIQI,57,10.99,4.8,Mainland China,Yami,Dessert
Konjac Nutrional Meal Purple Yam Flavor 28g*16Pack,WUGU MOFANG,176,17.99,4.8,Mainland China,Yami,Dessert
Truffle and Wild Mushroom Porridge 35gx3,Zen Eat,1,11.99,3,Taiwan,Yami,Dessert
Bun Snack Kidney Bean Paste 280g,JIMEI,109,3.99,4.7,Mainland China,Yami,Dessert
Mixed Black Rice Congee 280g,YINLU,165,2.39,4.8,Mainland China,Yami,Dessert
BZS Mango Sago Cream with Pomelo 220g,BAOZHISU,223,3.69,4.5,Mainland China,Yami,Dessert
Mixed EJiao Congee 300g,TONGFU PORRIDGE,4,2.19,4.5,Mainland China,Yami,Dessert
Peach Gum Gleditsia Sinensis Soup Coconut Flavor 200g,CHAOZHOULANG,111,3.69,4.7,Mainland China,Yami,Dessert
Purple Rice Juice with Coconut Milk 225g,YOUHUALIANGCAO,2,4.99,4,Mainland China,Yami,Dessert
INSTANT DESSERT COCONUT JUICE WITH BLACK GLUTINOUS RICE 225g,BAOZHISU,168,3.69,4.7,Mainland China,Yami,Dessert
Mixed Congee 340g,AGV,204,1.69,4.7,Taiwan,Yami,Dessert
