Product_Name,Brand,Option,Price,Reviews,Origin,Rate,Platform,Category
Sachima Egg Flavor Soft Flour Cake 526g,HSUFUCHI,2 Options,0.00,380,Taiwan,4.8,Yami,Mochi
Egg Flavor Soft Flour Cake 608g,JINGYIZHEN,4 Options,5.99,151,Mainland China,4.9,Yami,Mochi
Sesame Sachima Soft Flour Cake 469g,HSUFUCHI,2 Options,0.00,127,Taiwan,4.6,Yami,Mochi
Dim Sum Gift Box,DIANDUDE,No,0.00,1,Mainland China,5.0,Yami,Mochi
Pineapple Cake Mango Flavor 190g,HSUFUCHI,4 Options,4.59,206,Taiwan,4.7,Yami,Mochi
Chibi Maruko Chan Cookie Box 16pcs,Matchall,No,0.00,67,Mainland China,4.7,Yami,Mochi
Pineapple Cake 4 Flavors 8pcs,Kaonuxu,No,0.00,2,Taiwan,4.0,Yami,Mochi
TK FOOD Taiwan Pineapple Cake 180g,TKFOOD,No,3.49,144,Taiwan,4.4,Yami,Mochi
Sweet Red Bean Jelly Bar 55g,HAITAI,2 Options,0.00,122,Korea,4.3,Yami,Mochi
Royal Family Bubble Milk Tea Cake 600g,ROYAL FAMILY,No,16.99,0,Taiwan,0.0,Yami,Mochi
Lava Cake Durian Flavor 220g,AJI,3 Options,0.00,29,Mainland China,4.7,Yami,Mochi
Moccjiri Choocodama 96g,SHOEI DELICY,No,4.49,0,Japan,0.0,Yami,Mochi
Blooming Mung Bean Cake 22g*9,Wholesome,No,21.99,0,Taiwan,0.0,Yami,Mochi
YUKI/LOVE BK Pineapple Cake 250g,YUKI&LOVE,No,0.00,81,Taiwan,3.7,Yami,Mochi
Mung Bean Cake Brown Sugar Bubble Flavor 22g*9,Wholesome,No,21.99,0,Taiwan,0.0,Yami,Mochi
Salted Egg Yolk Cookie 165g,BESTORE,No,3.89,15,Mainland China,5.0,Yami,Mochi
Tachia Master Lava Custard Taro Pastry 270g,TACHIA MASTER,No,21.99,2,Mainland China,5.0,Yami,Mochi
BiscuitI Milk And Chocolate Flavor 120g,RIMO,3 Options,3.49,3,Japan,5.0,Yami,Mochi
Baby Taro Pastry 390g,TACHIA MASTER,No,26.99,10,Mainland China,4.3,Yami,Mochi
Sun Cake 300g,TACHIA MASTER,No,18.99,0,Mainland China,0.0,Yami,Mochi
Bubble Milk Tea Taro Pastry 400g,TACHIA MASTER,No,28.99,0,Mainland China,0.0,Yami,Mochi
Tachia Master Sun Cake 600g,TACHIA MASTER,No,39.99,0,Mainland China,0.0,Yami,Mochi
Taro W Durian Cake 300g,Maoshanwang,No,4.49,0,Mainland China,0.0,Yami,Mochi
Sesame Flour Cake 360g,HSINTUNGYANG,3 Options,3.99,25,Taiwan,3.6,Yami,Mochi
Mango Cake 184g,ROYAL FAMILY,4 Options,2.99,27,Taiwan,3.8,Yami,Mochi
Strawberry Cake 184g,ROYAL FAMILY,4 Options,2.99,3,Taiwan,3.7,Yami,Mochi
Sachima Sesame Flour Soft Flour Cake 608g,JINGYIZHEN,4 Options,6.49,75,Mainland China,4.8,Yami,Mochi
JYZ Red Sugar Fried Flour Snacks 608g,JINGYIZHEN,No,6.49,9,Mainland China,5.0,Yami,Mochi
Honey Dew Melon Cakes 227g,NICE CHOICE,5 Options,0.00,15,Taiwan,4.6,Yami,Mochi
NICE CHOIE Green Tea Cake 227g,NICE CHOICE,No,2.99,11,Taiwan,2.9,Yami,Mochi
Raisin  Flour Soft Flour Cake 608g,JINGYIZHEN,4 Options,6.99,38,Mainland China,4.9,Yami,Mochi
Taro Pastry 6pcs 300g,TACHIA MASTER,No,0.00,9,Mainland China,4.7,Yami,Mochi
Snowflake Crisp Mango  Flavor 180g,HSINTUNGYANG,3 Options,5.99,0,Taiwan,4.0,Yami,Mochi
Snowflake Crisp Milk Tea Flavor 180g,HSINTUNGYANG,3 Options,5.99,10,Taiwan,4.3,Yami,Mochi
Blended Flavor Egg Yolk Puff 330g,FORTUNE BAKERY,8 Options,19.99,145,United States,4.6,Yami,Mochi
Litchi Cakes 227g,NICE CHOICE,5 Options,0.00,17,Taiwan,4.3,Yami,Mochi
Vegetarian Pineapple Cake 227g,NICE CHOICE,No,3.49,10,Taiwan,4.9,Yami,Mochi
Black Pineapple Cake 6pc,CHERRY GRANDFATHER,No,16.99,2,Taiwan,4.5,Yami,Mochi
Brown Sugar Sweet Potato Crisp 140g,Liancheng,No,6.49,1,Taiwan,5.0,Yami,Mochi
Egg Yolk Puff Rose & Purple Yam Paste 330g 6pc,FORTUNE BAKERY,8 Options,19.99,113,United States,4.8,Yami,Mochi
Blended Flavor Egg Yolk Puff 2pc 110g,FORTUNE BAKERY,8 Options,6.99,62,United States,4.6,Yami,Mochi
Papaya Cakes 227g,NICE CHOICE,5 Options,2.09,13,Taiwan,4.2,Yami,Mochi
Strawberry Cakes 227g,NICE CHOICE,5 Options,0.00,6,Taiwan,4.3,Yami,Mochi
Lava Custard Taro Pastry 300g,TACHIA MASTER,No,22.99,7,Mainland China,5.0,Yami,Mochi
Snowflake Crisp Cranberry Flavor 180g,HSINTUNGYANG,3 Options,5.99,7,Taiwan,4.6,Yami,Mochi
DXC Soft Flour Cake Brown Suger 454g,Dao Xiang Cun,3 Options,7.49,56,Mainland China,4.6,Yami,Mochi
CHIO HEONG YUEN Pineapple Short Cakes 180g,Choi Heong Yuen Bakery,No,6.99,41,Macao,3.3,Yami,Mochi
Seaweed Flour Cake 360g,HSINTUNGYANG,3 Options,3.99,15,Taiwan,3.9,Yami,Mochi
Toppo Vanilla 40g,LOTTE Japan,No,1.69,0,Japan,0.0,Yami,Mochi
Yokan Dessert 8pcs,RIBBON,No,7.89,2,Japan,3.0,Yami,Mochi
Sweet Potato Crisp 140g,Liancheng,No,6.49,4,Taiwan,4.8,Yami,Mochi
Egg Yolk Puff Rose & Purple Yam Paste 109g 2pc,FORTUNE BAKERY,8 Options,6.99,60,United States,4.7,Yami,Mochi
Taro Pastry 8pcs 400g,TACHIA MASTER,No,0.00,34,Mainland China,4.7,Yami,Mochi
Bubble Milk Tea Taro Pastry 6pcs 300g,TACHIA MASTER,No,0.00,139,Mainland China,4.6,Yami,Mochi
YUNYANGGANG 10PK 500g,HAITAI,2 Options,5.69,21,Korea,4.6,Yami,Mochi
Chestnut and Red Bean Pastry 500g,CROWN,No,6.99,6,Korea,4.7,Yami,Mochi
Green Tea Cakes 227g,NICE CHOICE,5 Options,0.00,5,Taiwan,3.4,Yami,Mochi
Grill Cold Noodles 615g,JIZHUDAFU,No,0.00,0,Mainland China,4.4,Yami,Mochi
moody Bubble Tea Collection Choco Mochi(Cocoa Brown) 6 Months  1 Piece 0,moody,26 Options,0.00,0,Mainland China,0.0,Yami,Mochi
Traditional pineapple pastry with flavor 8 pcs Taiwanese flavor,SEA FORTUNE,No,0.00,0,Mainland China,0.0,Yami,Mochi
TAIWAN Pineapple Cake 315g 9pcs,JIUZHENNAN,No,0.00,0,Taiwan,0.0,Yami,Mochi
DUNE TAI Taro Pastry 300g/6pcs,Dunetai,No,0.00,42,Taiwan,4.9,Yami,Mochi
Pineapple Cake 360g 12pcs,WU PAO CHUN,No,0.00,0,Taiwan,0.0,Yami,Mochi
Crystal Taro Cake 300g 6pcs,Dunetai,No,0.00,92,Taiwan,4.8,Yami,Mochi
DUNE TAI Taro Sweet Potato Pastry 300g/6pcs,Dunetai,No,0.00,12,Taiwan,4.7,Yami,Mochi
Bubble Milk Taro Pastry 6 pc,TACHIA MASTER,No,0.00,0,Mainland China,0.0,Yami,Mochi
