Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category
SHIRAKIKU Rice Cake Green Daifuku Mochi With Red Bean Paste Filling 8Pc,SHIRAKIKU,2,3.99,No,4.0,Japan,Yami,Cake
Mini Roll Cake Milk Flavor 70g,BOURBON,6,2.99,3 Options,4.7,Japan,Yami,Cake
Cheese Cake Sea Salt Flavor 240g,HUAMEI,4,4.99,2 Options,4.8,Mainland China,Yami,Cake
Ming Kung Cake,Choi Heong Yuen Bakery of Macau,1,7.99,No,5.0,Macao,Yami,Cake
Hot Cake Mix 600g,MORINAGA,2,8.99,No,5.0,Japan,Yami,Cake
Vegetarian Pineapple Cake 227g,NICE CHOICE,10,3.49,No,4.9,Taiwan,Yami,Cake
Mango Cake 184g,ROYAL FAMILY,26,2.99,4 Options,3.8,Taiwan,Yami,Cake
Baked Matcha Chocolate  Cake 186g,COLOMBIN,7,19.99,No,4.6,Japan,Yami,Cake
Banana Cake 120g,TODAYA,3,5.49,No,4.7,Mainland China,Yami,Cake
Tamago Cake 120g,TODAYA,1,5.49,No,5.0,Mainland China,Yami,Cake
DAXI Spicy Flavor Tofu Cake 150g,YUXIANG,35,1.49,5 Options,3.3,Taiwan,Yami,Cake
Original Cake 9pc,BUTTER BUTLER,9,20.99,No,4.0,Japan,Yami,Cake
Stone Pot Black Sesame Nut Cake 318g,WANGLAOWU,2,8.99,No,3.5,Mainland China,Yami,Cake
Puffed Rice Cake 125g,NONGHYUP,9,2.99,2 Options,5.0,Korea,Yami,Cake
Seaweed Flour Cake 360g,HSINTUNGYANG,15,3.99,3 Options,3.9,Taiwan,Yami,Cake
Hot Stone Black Sesame Snack 418g,WANGLAOWU,1,8.49,No,5.0,Mainland China,Yami,Cake
【Mainland China Direct Mail】Vietnam Huanglong Green Bean Cake 1pcs 10g,DAI PHU,0,1.20,No,0.0,Vietnam,Yami,Cake
Pastry Black sesame cake 4 Piece,wufangzhai,0,6.49,No,0.0,Mainland China,Yami,Cake
Pastry Original mung bean cake 4 Pc,wufangzhai,0,6.49,No,0.0,Mainland China,Yami,Cake
LYFEN Coarse Cereals Crisp Cake Black Four Treasures Flavor 160g,yifen,0,7.99,2 Options,0.0,Mainland China,Yami,Cake
Handmade Sticky Rice Cake Matcha Taste150g,BESTORE,3,6.99,No,5.0,Mainland China,Yami,Cake
Red Suger Glutionus Rice Cake 240g,Taste of Mainland China,0,5.49,No,0.0,Mainland China,Yami,Cake
Handmade Sticky Rice Cake Matcha Taste150g,BESTORE,3,6.99,No,5.0,Mainland China,Yami,Cake
WANG Fish Cake/Sausage Crab Flavor 10PCS,WANG FOOD,194,5.99,6 Options,4.1,Korea,Yami,Cake
Roll Cake Vanilla 91g,BOURBON,9,2.69,No,4.4,Japan,Yami,Cake
Spicy Rice Cake with Noodle 436g,OTTOGI,80,4.99,No,4.7,Korea,Yami,Cake
Ejiao Guyuan Cake Instant Nourishing and Regulating Qi and Blood Individual Vacuum Packing Gift Box 300g,MR FANG'S STORE,20,18.99,No,4.9,Mainland China,Yami,Cake
Rice Cake 400g,HANHENG TASTE,31,6.59,No,4.4,Mainland China,Yami,Cake
Ejiao Cake 240g*1pc,YOULUCKY,0,39.99,No,0.0,Mainland China,Yami,Cake
Ripe Puer Tea Cake 2020 357g Menghai Southwest Charm,REN XIN CHANG,7,25.99,No,4.9,Mainland China,Yami,Cake
Yunnan Menghai Run Banzhang Ripe Puer Tea Cake 357g,REN XIN CHANG,1,31.99,No,5.0,Mainland China,Yami,Cake
Boiled Konjac Noodle 400g,YUMEI,15,3.50,No,4.5,Mainland China,Yami,Cake
